 	il	dito	si	gonfiò	</S>
o	9.572676e-07	5.2136675e-06	6.9534006e-05	3.0649877e-05	0.99989367
d	7.08548e-05	0.00095517666	0.0017802214	0.9893044	0.007889314
à	3.4638765e-06	1.8318287e-06	0.0026421705	0.99731976	3.2838216e-05
t	1.2946075e-06	9.652697e-07	0.0007338545	0.9989548	0.00030917572
t	0.0076899724	0.010615512	0.5169312	0.46445492	0.0003084437
i	0.011366761	0.90474075	0.083813444	4.3100135e-05	3.5754892e-05
l	1.2458445e-06	2.761907e-05	0.017922668	0.9736119	0.008436506
o	0.0017136778	0.009321064	0.7953508	0.19113375	0.0024807185
è	0.00049777416	0.0024502517	0.3635508	0.54772586	0.08577537
p	1.1470365e-09	8.1127666e-08	0.0001120028	0.99933845	0.00054944033
r	0.0007107247	0.0031412668	0.40163666	0.59187055	0.0026407985
i	0.0034529713	0.41785502	0.5767697	0.00096055603	0.00096177065
m	1.7144446e-06	2.0777044e-05	0.016531551	0.27139112	0.7120548
m	0.0016274957	0.012434756	0.77468115	0.1981967	0.013059854
è	0.008051946	0.23084484	0.75962365	0.001374936	0.000104554274
n	2.3683661e-08	3.1736505e-07	0.0013115016	0.09208306	0.90660506
o	4.457692e-06	0.0002748487	0.24568099	0.74979115	0.0042485343
</S>	8.698633e-09	2.9746968e-07	0.0009192913	0.03734522	0.9617352
