 	hai	già	mangiato	</S>
ì	4.7739404e-06	1.4276432e-05	0.056016617	0.94396436
s	0.26534653	0.73276675	0.0012666356	0.0006201554
e	0.1316258	0.6416603	0.13992119	0.08679266
g	0.1820372	0.805414	0.004460505	0.008088285
i	0.010795007	0.44579676	0.5428019	0.00060629536
à	0.13943748	0.83846116	0.0016109188	0.02049044
f	0.014265968	0.9537258	0.026273912	0.0057342937
a	0.014399696	0.08781693	0.891561	0.0062224246
m	0.0032566923	0.122214295	0.4853453	0.38918373
è	0.011005464	0.036331423	0.95038486	0.0022782625
n	0.00020618133	0.07648579	0.5829116	0.3403964
a	0.0005339026	0.036613286	0.88514805	0.077704825
</S>	2.0307941e-06	0.0005007447	0.0086044455	0.99089277
