 	deve	essere	bianco	</S>
è	3.0322315e-05	5.6764464e-05	0.00067865226	0.9992343
n	0.014813968	0.9851672	1.053549e-05	8.213402e-06
a	0.035898607	0.9171005	0.0128579615	0.03414305
è	0.025445346	0.97018784	7.636901e-05	0.0042904434
n	0.0025654791	0.9974317	9.369376e-07	1.8518152e-06
e	0.044005122	0.6352551	0.30541357	0.015326162
à	0.013981178	0.93615866	0.0074042194	0.042455904
s	0.0010854622	0.99888283	9.197825e-06	2.2455697e-05
p	0.060889695	0.41071337	0.52244115	0.0059557315
r	0.000104924315	0.0013635943	0.9984394	9.217179e-05
o	0.00061271334	0.0045143007	0.99462634	0.00024658118
</S>	0.00051865703	0.03286097	0.0018153219	0.9648051
