 	non	ho	dove	d	andare	</S>
e	1.2529979e-05	1.4563087e-05	3.1356467e-05	0.00014037736	0.11366562	0.8861355
n	0.5423243	0.39489958	0.04849398	0.014192536	7.667511e-05	1.3015086e-05
è	0.015645456	0.13470611	0.71316504	0.13553081	0.0008562662	9.6354386e-05
c	0.07787292	0.4717053	0.32064	0.12962405	0.00014645344	1.1194156e-05
h	0.015689366	0.19496489	0.35058257	0.43414003	0.004592662	3.0455738e-05
o	0.049108155	0.44935927	0.45716357	0.041805215	0.00025584936	0.0023080262
p	0.0018117479	0.064453594	0.8906441	0.04261569	0.00019450058	0.00028025825
u	0.00055225455	0.03817895	0.62237996	0.2853529	0.052762676	0.0007732546
è	0.0042836093	0.07509052	0.78482276	0.1309356	0.0030417752	0.0018257517
n	0.0008590389	0.039629992	0.09335329	0.8617312	0.0031537185	0.0012728353
a	0.006933307	0.037619263	0.14579146	0.049615152	0.7466006	0.013440246
p	0.0006839238	0.029131422	0.25970003	0.61381507	0.07774797	0.01892168
à	0.00029926596	0.024353297	0.50903827	0.34745786	0.110699125	0.008152161
o	8.773639e-06	0.0023288962	0.015692145	0.905417	0.07102566	0.0055274735
</S>	8.551954e-06	0.0025254844	0.034054216	0.8463861	0.0068039005	0.110221766
