 	non	ci	dimentichiamo	mai	</S>
e	7.2081943e-06	1.624813e-05	0.00016661204	0.19440016	0.8054098
n	0.5802767	0.28454354	0.110987656	0.018808013	0.005384065
è	0.041729078	0.8252361	0.05481706	0.069520645	0.008697189
n	0.022485636	0.9688861	0.004070025	0.003876566	0.0006817494
a	0.001519283	0.010914361	0.50477004	0.47485322	0.007943078
a	0.02954006	0.9505953	0.0015285239	0.007083734	0.01125229
l	0.019930065	0.20659058	0.7062692	0.04422536	0.022984724
l	0.008099811	0.014574461	0.33013052	0.6372128	0.009982358
i	0.0125245415	0.79154336	0.1828008	0.012926144	0.00020513513
m	0.005585411	0.66984105	0.0030959388	0.14490917	0.1765684
o	0.08032448	0.17497861	0.098938175	0.6309472	0.014811592
n	0.00075616926	0.689997	0.0020631875	0.16893551	0.1382481
i	6.695526e-05	0.0016576843	0.007474859	0.9661874	0.024613023
s	0.00014551249	0.19456272	0.0012374732	0.5308136	0.27324072
t	0.0018924362	0.011535187	0.016613742	0.92246914	0.04748942
ù	0.0055939113	0.16009854	0.4047622	0.4236547	0.005890659
m	1.1257532e-05	0.012321305	6.752967e-05	0.83475465	0.15284525
e	0.03304974	0.10989067	0.035165634	0.7968513	0.025042647
s	2.5105946e-06	0.0013675202	0.000111645946	0.37028453	0.6282338
t	0.0017741435	0.012442007	0.00451084	0.91046685	0.07080617
a	0.0025282055	0.045933057	0.1312851	0.7840711	0.036182508
m	2.0589852e-07	0.00015937934	1.4578715e-05	0.26317477	0.73665106
à	0.024755238	0.106977865	0.011502059	0.84533656	0.0114282
i	4.6921123e-06	0.00051008625	0.00011213959	0.8875102	0.111862786
</S>	1.002419e-06	6.334713e-05	0.00062874035	0.44368535	0.55562156
