 	la	casa	la	costruirono	i	muratori	</S>
o	5.93077e-06	2.40802e-05	1.26211e-05	0.000113956	0.000516785	0.050409	0.948918
s	0.535271	0.39815	0.0634648	0.00298999	0.000120945	2.74035e-06	1.01077e-06
p	0.0552823	0.426847	0.120968	0.396826	4.47528e-05	2.96876e-05	3.36555e-06
ì	0.847651	0.0218555	0.127085	0.00304329	0.000363133	2.04104e-06	2.90187e-08
t	0.0593836	0.851744	0.0597626	0.0290951	2.72815e-06	1.20417e-06	1.03109e-05
i	0.0386965	0.297567	0.259725	0.292458	0.0840531	0.0257595	0.00174143
o	0.0789253	0.29652	0.49321	0.131055	0.000107973	9.37795e-05	8.80617e-05
f	0.00733188	0.60353	0.295146	0.0938661	8.52318e-05	3.19779e-05	9.31446e-06
a	0.0127485	0.0889395	0.180601	0.26492	0.379474	0.0707542	0.0025638
b	0.0104456	0.130827	0.597385	0.260945	0.000249475	0.000124118	2.42194e-05
b	0.000565778	0.151815	0.146752	0.634512	0.0420228	0.0239897	0.000342442
r	0.02719	0.00506004	0.101886	0.0140805	0.844692	0.0066201	0.000470816
i	0.039607	0.00555534	0.105022	0.0298606	0.816871	0.00279125	0.000292824
k	0.000145777	0.128739	0.038491	0.824102	4.70723e-05	0.00358625	0.00488877
è	0.006461	0.131699	0.0439658	0.80143	0.0050403	0.0109712	0.000432768
t	0.000469228	0.0803647	0.0276099	0.882352	0.00012139	0.0036331	0.00544946
s	0.00556235	0.186848	0.0861746	0.541178	0.0188399	0.153495	0.00790211
a	0.00566643	0.00238301	0.0146644	0.00796567	0.943973	0.0249174	0.000430391
n	1.86505e-05	0.0207145	0.012709	0.932742	0.000110559	0.0226276	0.0110775
e	0.000111408	0.0279205	0.0132072	0.356587	0.0119532	0.569548	0.0206725
e	1.97922e-05	0.010736	0.00804408	0.950999	0.000216808	0.0228239	0.00715994
f	0.000260839	0.0921427	0.0473171	0.737467	0.00255304	0.110982	0.0092774
a	0.00130142	0.0190944	0.02111	0.106518	0.130653	0.687956	0.0333667
b	3.2102e-05	0.0119728	0.0077731	0.866818	0.000503248	0.0854238	0.0274774
b	3.27615e-05	0.0993096	0.047894	0.80075	0.00397116	0.0476453	0.000396796
r	0.00191304	0.00212572	0.00888064	0.00886296	0.705275	0.270565	0.0023778
i	0.00263597	0.00269648	0.00718354	0.0117657	0.717508	0.257718	0.000492579
k	1.67012e-06	0.00167172	0.00073296	0.244911	2.13989e-05	0.0454587	0.707203
a	0.0013564	0.0997442	0.0217654	0.784221	0.00280639	0.0890151	0.00109151
t	9.41189e-07	0.00108465	0.000485618	0.216695	7.02481e-05	0.153534	0.628129
ù	0.000724434	0.0329121	0.00994646	0.3478	0.00934581	0.578814	0.0204572
r	2.24723e-06	0.0170823	0.000630023	0.225294	6.31888e-05	0.642766	0.114161
i	0.0013359	0.0270832	0.0157766	0.0654344	0.0258582	0.837463	0.0270487
</S>	6.59242e-08	9.82908e-05	2.75715e-05	0.0107616	1.21715e-05	0.0722682	0.916832
