 	sto	e	cucino	</S>
e	1.3455376e-05	5.8633897e-05	0.36360127	0.6363267
s	0.73345643	0.12430931	0.13755278	0.0046814554
t	0.34911683	0.5353801	0.08293898	0.03256404
è	0.9224713	0.06914722	0.007869094	0.0005123523
c	0.91630805	0.07575794	0.0036022293	0.0043317415
e	0.042563286	0.27197945	0.683094	0.0023632506
m	0.10254727	0.16243628	0.006634491	0.72838193
a	0.038011547	0.43915665	0.47681552	0.04601635
r	0.07714642	0.603541	0.066720545	0.252592
è	0.01111431	0.2939048	0.65406865	0.04091225
o	0.055233512	0.39460078	0.5177885	0.032377217
</S>	0.0039154813	0.14805888	0.38243508	0.4655906
