 	avete	fatto	già	le	verdure	</S>
i	9.87114e-06	8.52113e-06	6.26722e-06	0.00119353	0.206166	0.792615
k	0.743538	0.247625	0.00834568	0.00048513	1.21804e-06	4.6126e-06
à	0.47183	0.32888	0.192999	0.00432637	0.00091781	0.00104685
m	0.662975	0.259585	0.0772556	0.000167363	1.42372e-05	2.83228e-06
a	0.120664	0.140711	0.282576	0.215867	0.235472	0.00470916
t	0.307218	0.161465	0.53107	0.000128055	2.98989e-05	8.84436e-05
o	0.0592243	0.186498	0.413652	0.234176	0.0974426	0.00900763
g	0.335693	0.0996856	0.563531	0.000595067	0.000288994	0.000206245
i	0.0163395	0.180895	0.576666	0.0436664	0.179301	0.00313215
à	0.120789	0.210635	0.666163	0.000448962	0.00039863	0.00156605
t	0.0857443	0.726622	0.184646	0.000309134	0.00139638	0.00128251
a	0.0343753	0.0484521	0.124777	0.195361	0.582669	0.0143665
l	0.0515826	0.0623049	0.799718	0.00552592	0.0330247	0.0478439
à	0.0412203	0.0621254	0.290461	0.116247	0.450733	0.0392127
c	0.0118544	0.0638007	0.172461	0.00445892	0.696709	0.0507165
h	0.0210436	0.438691	0.512837	0.00100885	0.0255648	0.000854849
a	0.000869206	0.00114688	0.00224809	0.453167	0.54121	0.00135842
n	8.34499e-05	0.00106563	0.001986	7.8204e-06	0.000369709	0.996487
a	0.00441679	0.00917564	0.0466346	0.0198306	0.423234	0.496709
</S>	0.000790706	0.00283036	0.0115821	0.000710749	0.0660152	0.918071
