 	qui	dentro	vuole	un	tappeto	</S>
e	9.867931e-06	1.830014e-05	1.8086557e-05	0.0013348878	0.020126192	0.9784927
t	0.625364	0.2209333	0.15313734	2.933533e-05	0.00053208676	3.969935e-06
t	0.06971298	0.72618693	0.18660928	0.010062003	0.0070196684	0.00040911153
ù	0.7106664	0.20744802	0.045319695	0.03655862	6.134602e-06	1.2115294e-06
m	0.44249803	0.5127646	0.044412166	0.00020299773	7.730782e-05	4.4850844e-05
è	0.01440857	0.05654029	0.023019891	0.886885	0.017588848	0.0015573964
s	0.10348949	0.74260485	0.15253787	0.00039964347	0.0007217468	0.00024642202
a	0.011758575	0.05923874	0.059376743	0.8425141	0.026082836	0.0010290355
t	0.02037817	0.4237593	0.5390437	0.004807476	0.0077275885	0.004283694
è	0.00304506	0.019271322	0.014297909	0.93691736	0.025536029	0.000932235
l	0.011139382	0.72188634	0.20801769	0.0074207387	0.047625873	0.003909948
i	0.0076290285	0.05095756	0.044880856	0.8392564	0.053853538	0.003422654
è	0.0018762297	0.3524782	0.3634493	0.011848563	0.17926021	0.091087475
n	0.0011933683	0.16023082	0.36827052	0.0009814063	0.46513152	0.0041923537
a	0.0013199607	0.011920935	0.011044742	0.80421746	0.16310926	0.008387705
t	0.00019085156	0.07115403	0.05914384	0.019709414	0.63913435	0.21066748
a	0.0029172283	0.035170425	0.018250754	0.574217	0.341887	0.02755763
p	6.671807e-05	0.020067323	0.01648121	0.013310652	0.79449403	0.15558012
p	0.00023250628	0.016677598	0.014137123	0.047463953	0.9036074	0.017881397
è	0.00056845625	0.002726683	0.0050741867	0.9159531	0.06333102	0.012346554
t	6.2621707e-06	0.0008901987	0.00047053501	5.7387773e-05	0.7636151	0.23496059
o	0.005143152	0.08729241	0.037847083	0.24952269	0.5479313	0.07226333
</S>	1.1014154e-06	0.00028858392	0.00029118813	0.0002732789	0.282573	0.7165728
