 	quella	famiglia	non	ha	da	mangiare	</S>
c	4.93941e-06	6.41685e-05	0.000107728	9.86513e-05	0.000713525	0.0121701	0.986841
ì	0.0222812	0.774232	0.173715	0.020562	0.00859776	0.000547423	6.46866e-05
s	0.000900541	0.787617	0.0737486	0.113915	0.0232978	0.000125186	0.00039584
i	0.000611048	0.818756	0.130725	0.0404161	0.00918054	0.000160421	0.000151084
f	0.00714998	0.252704	0.256946	0.429141	0.0528474	0.000328874	0.000881951
a	0.00211504	0.456696	0.313477	0.0953383	0.12094	0.0106075	0.00082646
m	0.0169647	0.195418	0.227003	0.457079	0.102038	0.00118877	0.000308689
ì	0.0155792	0.511567	0.217529	0.0440716	0.114135	0.0919343	0.00518391
g	0.000368063	0.101398	0.0860332	0.649788	0.152442	0.00981407	0.000156399
l	0.000121086	0.095381	0.0480893	0.501444	0.290279	0.0645174	0.000168246
i	0.14831	0.59389	0.104371	0.126573	0.0237187	0.00292253	0.000213597
a	0.000326694	0.0273192	0.245279	0.466829	0.237188	0.0143815	0.00867635
e	2.82768e-06	0.617138	0.283844	0.0711193	0.0166507	0.010009	0.00123567
n	1.9685e-06	0.404348	0.50706	0.0560149	0.0179535	0.0102921	0.0043297
è	0.00260083	0.173857	0.156797	0.0527472	0.221425	0.351475	0.0410977
c	6.75161e-06	0.00461551	0.00967305	0.224838	0.487629	0.270309	0.00292794
h	0.000492861	0.16945	0.0324388	0.126487	0.236498	0.432352	0.00228189
i	0.0228799	0.297484	0.2101	0.116696	0.101771	0.248061	0.00300784
n	0.000173814	0.00583337	0.0314551	0.0322568	0.101364	0.0489885	0.779928
a	7.08307e-06	0.00188244	0.0161741	0.0367476	0.183755	0.622393	0.139041
f	2.07858e-05	0.00465559	0.0415126	0.0525652	0.28965	0.302275	0.30932
à	0.000125722	0.00812915	0.0202112	0.0439803	0.209902	0.555363	0.162288
i	5.17828e-08	0.000163175	0.000562812	0.0124326	0.0678839	0.892615	0.0263426
</S>	4.36811e-09	0.00143792	0.00519549	0.0054624	0.00724505	0.122935	0.857724
