 	non	ha	che	li	aspettiamo	</S>
e	3.995649e-06	6.9594576e-06	7.667824e-06	6.8267014e-05	0.09235457	0.90755856
n	0.6316064	0.20441519	0.078861445	0.08481295	9.312552e-06	0.00029466272
è	0.037647843	0.3840739	0.4572645	0.11648468	0.001589943	0.0029391123
n	0.044267073	0.2312959	0.4846929	0.23944378	1.1301966e-05	0.000288972
a	0.001769502	0.12128819	0.2748293	0.59279287	0.0043267035	0.004993435
t	0.027408877	0.39467597	0.53552145	0.03782717	0.00021361226	0.0043529654
u	0.023575163	0.18937133	0.27808213	0.20425117	0.2956428	0.009077332
s	0.02613862	0.28336793	0.62431824	0.056136902	0.0029015006	0.0071367887
m	0.012471043	0.079616666	0.10645448	0.054950092	0.73227185	0.014235941
ì	0.42773935	0.11964615	0.37011474	0.054831054	0.027489157	0.00017953692
n	0.0015375048	0.039395817	0.3077831	0.6178761	0.012476691	0.020930784
o	0.0003246013	0.039426465	0.09358201	0.2676557	0.5840927	0.014918543
m	0.00075733545	0.029095953	0.075442255	0.07029396	0.16368467	0.66072583
e	0.037173856	0.19295062	0.16664234	0.044308104	0.55471903	0.004206041
</S>	0.0003254812	0.012169318	0.047894686	0.10289786	0.33373967	0.502973
