 	voglio	che	Maria	viene	domani	</S>
t	0.000148825	0.000340338	0.000197055	0.000654262	0.000514473	0.998145
è	0.911227	0.0541632	0.0130271	0.0060336	0.0154068	0.000142383
l	0.0491378	0.00523907	0.802258	0.000609102	0.142749	7.23951e-06
o	0.00669402	0.109414	0.479826	0.035648	0.366412	0.0020069
e	0.588304	0.36586	0.0366979	0.00324505	0.00587455	1.82739e-05
M	0.0018905	0.0085804	0.611224	0.00501268	0.373098	0.000194533
a	0.229676	0.0946594	0.149847	0.116905	0.400517	0.00839645
r	0.997539	0.00246118	4.20054e-08	9.8708e-08	1.48084e-09	2.09884e-12
ì	0.735123	0.263405	1.35556e-05	0.00145368	4.44925e-06	4.44864e-07
a	0.966357	0.0334532	4.17794e-05	0.000130746	1.61652e-05	6.05136e-07
n	0.254836	0.588384	0.0692898	0.0216515	0.0655156	0.000323279
a	0.233169	0.562523	0.00379602	0.182706	0.0174893	0.000317176
r	0.412409	0.554714	0.00549564	0.0233365	0.00355982	0.000484807
t	0.0352383	0.242204	0.121232	0.265956	0.333622	0.00174818
i	0.161503	0.686024	0.00321614	0.144467	0.00437683	0.000413552
à	0.0242227	0.099071	0.383686	0.0801345	0.297222	0.115663
v	0.000105403	8.99809e-05	0.214969	0.00158038	0.717589	0.0656661
v	0.0034086	0.00204752	0.188454	0.027573	0.778108	0.000408644
r	0.799041	0.152743	0.00124312	0.0316647	0.00308491	0.0122227
i	0.0515612	0.885408	0.000613398	0.0607257	0.00130932	0.000382656
</S>	9.55666e-05	0.000539101	0.000814774	0.000549084	0.00242297	0.995578
