 	si	è	rotta	la	coppa	</S>
e	2.6387661e-05	8.151741e-05	0.00012106578	0.0006549362	0.02193268	0.97718346
g	0.4134859	0.39654446	0.18427862	0.002014617	0.003647671	2.8710354e-05
l	0.018606124	0.50765085	0.3596551	0.045386598	0.06868502	1.639435e-05
à	0.039156344	0.21557195	0.6352342	0.049992826	0.041517228	0.01852743
s	0.2553201	0.30557132	0.40616795	0.023232244	0.009275371	0.00043307972
t	0.058118008	0.2033932	0.24246225	0.2887081	0.20712408	0.00019437615
i	0.08658768	0.65774477	0.0731446	0.1806919	0.0015686017	0.0002625307
e	0.014843625	0.29639217	0.45624736	0.19509615	0.018265147	0.019155553
c	0.0012018114	0.027564818	0.551308	0.066266984	0.35131305	0.0023454663
ò	0.00097545265	0.017365651	0.03343176	0.24439834	0.7010913	0.0027374367
p	4.5251072e-05	0.008326896	0.12586705	0.102467656	0.7610779	0.0022153158
p	0.00017102012	0.0021516527	0.13156427	0.029632425	0.83640945	7.122716e-05
a	0.0028234685	0.120217904	0.015506168	0.7972375	0.06088769	0.0033273126
</S>	3.5203484e-05	0.0037058392	0.0037001884	0.028933404	0.03298713	0.9306382
