 	le	canzone	si	scrivono	alla	notte	</S>
a	1.62757e-05	1.30167e-05	1.42507e-05	0.0010615	0.00494461	0.00270476	0.991246
t	1.66348e-06	0.952602	0.0451089	3.67832e-05	0.000360301	0.00187647	1.41324e-05
r	0.0065952	0.733153	0.247569	8.00089e-05	0.00591948	0.00660285	8.06497e-05
a	0.965239	0.0254269	0.00105133	0.00823518	3.89042e-05	7.62375e-06	8.31161e-07
ù	0.000666905	0.772466	0.204728	0.000404199	0.00795964	0.013229	0.00054606
d	1.30748e-07	0.89213	0.107318	5.2328e-07	3.38372e-05	0.000514294	3.56107e-06
i	0.00265387	0.350193	0.147281	0.00850259	0.333985	0.156834	0.0005499
a	0.00978816	0.72211	0.240348	0.000516981	0.0123657	0.0140939	0.000777574
g	6.0649e-07	0.638826	0.359951	4.4754e-06	0.000172423	0.00103462	9.92435e-06
r	0.000861711	0.145462	0.0963819	0.00511823	0.599464	0.151174	0.00153782
à	0.0205726	0.333096	0.629527	0.000431998	0.00435516	0.00937359	0.00264417
f	3.85884e-05	0.092012	0.0511658	0.000161197	0.0798048	0.743095	0.0337226
u	0.000198437	0.0523977	0.036509	0.0193199	0.752238	0.136447	0.00288952
t	0.00117143	0.0777564	0.103589	0.00206907	0.318913	0.373691	0.122811
t	0.000520332	0.0298531	0.0223031	0.0220844	0.799489	0.116457	0.00929356
e	0.0756945	0.00722432	0.00339044	0.868831	0.0421167	0.00266124	8.22534e-05
t	4.36898e-05	0.0162204	0.0700535	0.000110011	0.120217	0.516985	0.276371
s	0.00110198	0.024289	0.023908	0.0161312	0.837491	0.092727	0.00435191
e	0.0374873	0.0085966	0.00702861	0.697538	0.221542	0.0261602	0.00164766
n	6.79255e-05	0.00359282	0.0132175	0.000142118	0.148436	0.445966	0.388578
ì	4.55581e-05	0.00452373	0.00689554	0.00654177	0.846789	0.126203	0.00900195
t	1.25457e-06	0.00119854	0.00170595	3.53075e-05	0.0683628	0.810865	0.117831
t	0.00012075	0.00293257	0.00282727	0.0163503	0.802705	0.11937	0.055694
a	0.0510889	0.00819815	0.00565143	0.71087	0.192465	0.0299913	0.00173562
</S>	4.61709e-06	0.000100673	0.000375249	1.5723e-05	0.0218934	0.0888521	0.888758
