 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	1.0307686e-05	0.0001645538	0.001273139	0.000455519	0.0034458947	0.0045696334	0.008235356	0.016863337	0.010339178	0.093010284	0.8616327
a	0.003905966	0.002457755	0.06818902	0.8955839	0.012011354	0.012225967	0.002990678	0.00064768805	0.0018477718	0.000104967505	3.4844434e-05
p	0.0024966267	0.0055712773	0.025149066	0.53287435	0.29539308	0.13069673	0.0043914258	0.0010795984	0.0023346655	3.7252078e-06	9.431128e-06
e	2.9860442e-07	3.8918664e-05	0.09308845	0.8078553	0.043197192	0.030126808	0.022771224	0.0008713274	0.0020487146	1.3257146e-06	3.411243e-07
d	2.166862e-05	0.00016566263	0.0064440533	0.89948696	0.059027553	0.0320087	0.0017800544	0.0004416682	0.0006175713	2.8368233e-06	3.2709108e-06
ì	6.067906e-06	0.00062969344	0.75962454	0.18316731	0.013497392	0.021225045	0.013850046	0.0038843097	0.0039884215	0.00012409406	3.2115863e-06
a	0.00016695402	0.0002641342	0.19299765	0.7651904	0.01416932	0.017115554	0.0060264617	0.0012825066	0.002740823	1.2641477e-05	3.353649e-05
m	6.3354695e-09	8.479518e-07	0.07917308	0.8972854	0.00794521	0.006348147	0.00794165	0.0001630727	0.00114155	7.885544e-07	2.1182223e-07
i	0.0004985835	0.012134289	0.41028932	0.39394724	0.045857918	0.047864202	0.02765192	0.03865526	0.0061922534	0.016399618	0.0005094267
n	0.00011031051	0.0068295454	0.013525287	0.32451218	0.40013134	0.23513335	0.010592424	0.008753902	0.0003909322	1.3815236e-05	6.9165335e-06
c	3.815103e-06	0.00029474086	0.05551774	0.27961782	0.13390492	0.21749967	0.025971528	0.15086451	0.035964347	0.09881234	0.0015485731
i	0.00078751845	0.27699167	0.5820611	0.048415136	0.032979056	0.02955316	0.022790482	0.0055388478	0.00047309702	0.00040208583	7.823838e-06
à	0.0013713159	0.012715595	0.021611068	0.2793251	0.27137172	0.3637122	0.017697616	0.010843032	0.021250246	5.1699935e-05	5.042439e-05
è	4.9795364e-08	3.3654824e-06	0.3463136	0.24876066	0.022901865	0.028914934	0.14009686	0.0071840626	0.20554368	0.00014592294	0.00013498498
r	1.0944074e-07	7.943463e-06	0.28961658	0.48757443	0.023609936	0.026214857	0.065330096	0.0028082156	0.10442806	0.00022794156	0.00018185665
k	0.0003514349	0.005568393	0.17644137	0.17173326	0.052090455	0.07726899	0.071585245	0.19199419	0.040860225	0.20994855	0.0021578788
u	0.0019505671	0.81888974	0.024949836	0.012635089	0.06840491	0.043980252	0.017902937	0.010584493	0.00014863924	0.00054409297	9.433108e-06
t	3.3657412e-05	0.0015661333	0.002990653	0.1045454	0.31734642	0.4659404	0.014758351	0.042682435	0.04610804	0.0024065112	0.0016220653
t	6.0077215e-05	0.00024955184	0.021315176	0.03773702	0.081345625	0.1488822	0.056224566	0.34759685	0.06490314	0.2369451	0.00474068
e	0.0020784626	0.3233253	0.110578194	0.032325454	0.17082366	0.13524157	0.12655686	0.08960098	0.0042613377	0.0051773577	3.080543e-05
n	1.291832e-05	0.0003248311	0.0041354275	0.08268861	0.2739732	0.42707148	0.024189293	0.07125166	0.1113561	0.0034574089	0.0015390489
