 	sto	ancora	cucinando	</S>
s	9.809823e-06	5.496217e-05	0.3216545	0.6782808
t	0.30454132	0.6558255	0.03855441	0.001078846
e	0.9465739	0.052423924	0.0007600695	0.00024201757
a	0.389334	0.5919967	0.0037994059	0.014869814
n	0.4613238	0.5188448	0.015949842	0.0038816154
k	0.015554952	0.46535802	0.08310771	0.43597934
ò	0.5087793	0.41764125	0.07258748	0.0009919651
r	0.38739794	0.5796296	0.022768768	0.010203685
a	0.015197177	0.38194534	0.5890622	0.013795274
m	0.06990308	0.7012573	0.05419369	0.17464599
a	0.017812094	0.28562066	0.6653647	0.031202551
r	0.013393166	0.8015147	0.14079255	0.044299636
è	0.002850352	0.27071476	0.69181544	0.034619413
o	0.0028115383	0.64997435	0.34388512	0.003329011
n	0.0013052474	0.29420546	0.21553698	0.48895228
t	0.000113884504	0.0056344885	0.06798316	0.9262685
a	0.022222007	0.19943295	0.7705331	0.0078119216
</S>	8.030302e-05	0.0095438175	0.11550328	0.87487257
