 	guardando	le	nuvole	sapevi	che	sta	per	piovere	</S>
k	0.00016856135	0.000110705914	0.005917128	0.00019748302	0.0004091116	0.0010725304	0.04239686	0.0131843835	0.93654317
a	0.31739116	0.17048533	0.29515293	0.16557494	0.01738952	0.011038082	0.0025874416	0.019659633	0.00072099
n	0.9989759	6.4065757e-06	1.1507957e-06	0.00077691354	0.00021996055	1.8440498e-05	2.5839844e-08	1.2868111e-06	2.9526635e-08
o	0.002377465	5.344016e-06	4.2625004e-05	0.9714911	0.024954202	0.0007080697	1.0225027e-05	0.0004068845	4.146647e-06
n	0.8990685	1.526472e-05	1.3470196e-05	0.093674675	0.007112427	0.00010929652	1.7752244e-07	6.163048e-06	1.2377967e-07
ì	0.0066949506	0.004847709	0.09614181	0.537334	0.09827393	0.044711415	0.026338082	0.18031852	0.005339579
s	0.9893714	8.584329e-05	0.000111304114	0.0051754806	0.005076215	0.00017795559	1.3836777e-07	1.5914926e-06	1.5288705e-08
o	0.02240648	0.003529321	0.2413792	0.42112657	0.1072691	0.01914491	0.024854135	0.15879749	0.0014927704
n	0.8964707	0.002411523	0.0043575433	0.022318888	0.042683713	0.031675886	4.577388e-05	3.4273373e-05	1.8694566e-06
t	4.5070472e-05	0.00020525926	0.01064472	0.14440052	0.07994215	0.101918705	0.07336128	0.5880934	0.0013888333
a	0.0014222566	0.09926973	0.7971722	0.014804574	0.039929107	0.042164534	0.0046052425	0.00046472682	0.00016750823
t	0.38092053	0.002796861	0.0046965773	0.14417809	0.089299835	0.3674456	0.0058288085	0.0046049026	0.0002288142
e	0.013339814	0.004721225	0.33302787	0.03190216	0.07483903	0.04254447	0.4535961	0.042698927	0.0033304722
s	0.29558352	0.00767378	0.014493292	0.09231587	0.18464449	0.3950666	0.008963775	0.0011914076	6.7337874e-05
m	0.008911811	0.0020340253	0.16596182	0.02293533	0.07170515	0.0646183	0.6156617	0.045200933	0.0029709819
à	0.0027353244	0.09784944	0.8634948	0.0005566447	0.01226023	0.01950008	0.003572036	2.8983424e-05	2.3498133e-06
n	0.82650024	0.0001178421	0.00026007043	0.06898667	0.036203407	0.05792299	0.0021116121	0.0077520576	0.00014510898
t	1.7245955e-05	3.7815319e-06	0.00074638356	0.06404977	0.013065511	0.020854548	0.060994264	0.8345714	0.0056970334
e	0.00088443444	0.07779513	0.7380039	0.004452204	0.04818778	0.10368071	0.026566733	0.00042104986	8.021288e-06
ì	0.028467964	0.0011547131	0.0033307362	0.32763568	0.081822254	0.26240942	0.08582696	0.19309555	0.016256701
t	0.005422672	4.5111057e-05	0.00038187858	0.924771	0.023514366	0.0006840128	6.6258894e-05	0.044240475	0.0008741793
s	0.0032604402	0.0013490731	0.16514334	0.019406905	0.017869633	0.046301086	0.53430057	0.1972005	0.015168466
e	0.0012431524	0.020561537	0.73211926	0.0023015786	0.025056617	0.068224005	0.14957732	0.0008868715	2.9644083e-05
r	0.002828826	0.00059951877	0.0050202883	0.13380295	0.08565234	0.2549789	0.26025474	0.22483082	0.03203165
e	0.0052002785	0.00015721328	0.0071248035	0.009161665	0.014914963	0.026259989	0.8506667	0.08575049	0.00076389336
k	0.0027922245	0.0011324424	0.010104714	0.07583097	0.06641305	0.22031282	0.23475203	0.33106354	0.057598185
a	0.0067868684	0.00074043684	0.03027255	0.004874149	0.010107449	0.02017181	0.85477924	0.070319965	0.0019474399
n	0.00095183763	0.0005140747	0.00872624	0.03768947	0.041878246	0.15415412	0.30351144	0.34763262	0.10494198
a	5.4091735e-05	5.5545024e-06	0.0009416216	0.0049681463	0.006603591	0.034787484	0.57500076	0.34083232	0.036806416
v	0.0013935046	0.00015414903	0.0038350427	0.041553177	0.032565486	0.08395893	0.1743794	0.4865266	0.17563364
r	0.00464616	6.717418e-05	0.0050782245	0.025009656	0.012800657	0.00893751	0.09204712	0.79920876	0.052204795
è	0.0005938294	0.07206432	0.627831	0.04537993	0.06359757	0.08887103	0.0581131	0.033361584	0.010187661
t	0.008489893	3.959184e-05	0.00013765901	0.0038857702	0.0007401031	0.001895009	0.0042964984	0.48538142	0.49513415
s	0.0046983343	0.00014906873	0.006488377	0.0064281723	0.0057667834	0.020324705	0.7555856	0.18466339	0.015895518
i	0.0010346752	0.007671185	0.36203507	0.0036984368	0.018598426	0.051284116	0.5474512	0.0079168985	0.0003100052
</S>	1.674255e-05	7.3178153e-06	0.00020734423	0.0015470218	0.0012061138	0.0052751875	0.044486973	0.13253331	0.81472
