 	questa	canzone	è	scritta	da	un	poeta	nostro	</S>
i	3.847445e-06	1.5170399e-05	5.0885978e-05	0.00055471575	0.00042191692	0.0064481855	0.012997091	0.06290592	0.91660225
s	0.00018450369	0.9836416	0.013683915	0.0014722758	0.00072166225	1.2147666e-05	0.00028356808	2.364634e-08	2.4586063e-07
o	0.0010906631	0.8285377	0.094088055	0.06558872	0.010624105	4.801921e-05	2.1578291e-05	5.646747e-07	5.490753e-07
t	0.00079468737	0.8660872	0.10664134	0.018943595	0.0071154693	0.00039339127	2.2391556e-05	3.8875064e-07	1.5462703e-06
r	0.00018425394	0.062117018	0.14663154	0.65467113	0.09550418	0.031624377	0.0023515846	0.0048518367	0.0020640097
a	0.09715193	0.04333424	0.07826213	0.032065853	0.004468605	0.74457544	6.4446194e-06	8.353717e-05	5.1867777e-05
ù	9.701292e-05	0.63184315	0.21474554	0.07656323	0.07503119	0.0010391518	0.00053165207	1.9903033e-05	0.00012920673
d	1.2983052e-07	0.6850766	0.27296788	0.033556417	0.0079250075	1.933123e-05	0.00045099788	5.178515e-08	3.5606556e-06
i	0.00012318304	0.15555151	0.27505445	0.3826065	0.07627671	0.089886904	0.0071382956	0.013204979	0.00015746219
è	0.00013926587	0.22525343	0.32894078	0.28191394	0.15645075	0.0064743035	0.00052979606	7.436578e-05	0.00022334886
n	3.009457e-08	0.34889317	0.4608661	0.15164112	0.032629568	0.00029938875	0.0056510074	1.1999723e-06	1.8365723e-05
g	0.00031711918	0.028534673	0.08612043	0.4022639	0.08846414	0.24532302	0.008758234	0.13647318	0.0037452911
r	0.00018158645	0.0038703866	0.012238913	0.01880579	0.0060214032	0.95630693	0.000116920244	0.0024409825	1.696634e-05
a	0.0008304832	0.0027490011	0.008855751	0.025085228	0.019813605	0.941143	0.00021232235	0.0013077913	2.7690285e-06
m	1.1210585e-06	0.0210049	0.06694176	0.26292497	0.46533483	0.00095321966	0.16442758	0.0053938255	0.013017784
m	0.00031404523	0.01646218	0.026237588	0.09560843	0.04434775	0.13970092	0.008908061	0.6643689	0.004052083
è	0.0008378544	0.0011029312	0.0037428865	0.018512992	0.013252371	0.9579688	0.00010756073	0.004473262	1.3176592e-06
n	3.0422107e-08	0.0019256581	0.016710246	0.16075827	0.22010486	0.0014202	0.5507134	0.020328349	0.028038971
o	1.082887e-06	0.0058729975	0.017183911	0.07482982	0.07384969	0.019830292	0.07071912	0.7346052	0.0031079222
p	2.5470297e-07	0.0016817733	0.01723641	0.20650904	0.3091391	0.0019246537	0.3735717	0.039109807	0.050827287
u	2.3902617e-06	0.011045942	0.042209405	0.11063068	0.08659701	0.018587917	0.12841427	0.6011219	0.0013904783
s	4.2178495e-08	0.00049539754	0.0077701607	0.1537158	0.20228216	0.003203248	0.5525192	0.043496232	0.036517773
s	6.0025905e-06	0.0035043252	0.0102407625	0.035379875	0.030238932	0.016761223	0.052213322	0.8492337	0.002421881
è	0.0003691917	0.0011722085	0.00575194	0.052088268	0.025673304	0.69980115	0.011318959	0.20335893	0.00046606598
n	1.5396726e-09	2.929092e-05	0.00019812702	0.002971873	0.0058538094	8.438534e-05	0.93442774	0.019130781	0.03730396
a	3.9245365e-06	0.0038773038	0.010371088	0.024911972	0.01817513	0.013536282	0.022113679	0.8981474	0.008863251
p	4.9138123e-08	6.498254e-05	0.0008953879	0.030294986	0.039539702	0.00085207174	0.5164463	0.087400846	0.3245057
o	1.7494162e-06	0.006818601	0.025694508	0.048630785	0.057081155	0.008170133	0.17231593	0.6796651	0.0016220915
è	4.8339492e-09	2.3192484e-05	0.0002514889	0.009083637	0.011168718	0.00035975818	0.72749674	0.060484603	0.19113185
t	3.6594453e-11	0.00024339408	0.00040672615	0.0006295582	0.00027302187	5.183622e-05	0.99650013	0.0011790334	0.00071628566
a	9.3004244e-05	0.005062633	0.008608988	0.020715225	0.007888172	0.055504162	0.0044172234	0.8889139	0.008796635
d	4.187775e-09	1.1546107e-05	9.546738e-05	0.004401598	0.005023194	0.00029483865	0.32356676	0.13220748	0.53439915
i	1.0874033e-06	0.015380543	0.04634655	0.06431949	0.080126636	0.004434127	0.30417356	0.4774354	0.0077825515
k	3.1303617e-08	1.6943844e-05	0.00015475045	0.0026637048	0.0045272443	0.0003852101	0.3385476	0.036716223	0.61698836
ò	8.91766e-05	0.0020285666	0.0043720114	0.013499495	0.011203626	0.070509434	0.05328258	0.84261966	0.0023954455
m	8.7118255e-12	1.5111985e-06	6.7922947e-06	9.307676e-05	0.00014053004	2.0029065e-06	0.9384848	0.0073704887	0.05390074
m	5.2468302e-05	0.0018221854	0.0028406123	0.009016898	0.004153075	0.026742928	0.0029875957	0.9419191	0.010465194
a	0.00039777523	0.00065913866	0.002194957	0.020584753	0.013959258	0.6740028	0.017908083	0.27016875	0.00012448769
</S>	4.117262e-10	4.7209352e-07	4.9237397e-06	0.00023269103	0.00033217942	7.8658995e-06	0.036503658	0.010052014	0.9528662
