 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
a31	0.1080940972	0.112838854	0.14021375	0.0875896554	0.09568591	0.114357871	0.1293760328	0.111129612	0.1007142078
a24	0.1583437438	0.0987061166	0.145764984	0.0979399998	0.114420444	0.14091357	0.1071079724	0.0703643986	0.0664387682
a18	0.1320050632	0.1559844272	0.13961082	0.1274896242	0.1193242	0.1272270026	0.0823194132	0.0634496202	0.0525898302
a31	0.114936164	0.145030422	0.133157546	0.1524893692	0.11567239	0.1224447056	0.0728163634	0.0761635768	0.0672894662
a37	0.126040396	0.143535738	0.1487565758	0.132069782	0.136707604	0.1330985888	0.083408284	0.0427434932	0.0536395372
a21	0.0773746752	0.0816150116	0.125500159	0.1201577836	0.143451116	0.150626608	0.0935221976	0.0817202624	0.1260322196
a31	0.0760639654	0.0834993262	0.1338231392	0.146493564	0.1687622668	0.134755098	0.0848535948	0.0904467992	0.08130229
a37	0.1135226646	0.1050463948	0.1338973388	0.1208750372	0.156241018	0.1446470332	0.114894552	0.0515411706	0.05933476968
a19	0.0836736916	0.081616636	0.1412699474	0.1341464164	0.1653852828	0.120722799	0.090425848	0.0703267186	0.1124326446
a37	0.07497161248	0.0785567456	0.144967168	0.15469645	0.15624767	0.125200544	0.0815416714	0.079229534	0.10458861892
a31	0.0867102996	0.0912219668	0.148311102	0.153136918	0.189591786	0.1311582216	0.074074282	0.0569498164	0.0688455939
a39	0.0798907891	0.0727934246	0.1224297694	0.117928878	0.1862126672	0.12381061	0.0839239885	0.0496682636	0.16334160768
a35	0.06568414706	0.066099354	0.1323378344	0.1453115768	0.1679930934	0.1289009974	0.084566537	0.0702278072	0.13887869184
a20	0.06407440928	0.0711673658	0.1278611792	0.1298063616	0.1498542774	0.121928507	0.0971074872	0.1170312374	0.12116915284
a31	0.07410288914	0.0802421028	0.1345260536	0.127251483	0.18431391	0.1312493	0.0900463268	0.073466173	0.10480177392
a33	0.06271806976	0.061481734	0.125774646	0.1275992276	0.1959058724	0.121476837	0.084312795	0.0396529104	0.18107790366
a23	0.0443007351	0.041551893	0.11124931876	0.1286404873	0.1118900596	0.1421040168	0.1405368942	0.1458415938	0.13388502376
a31	0.03773789924	0.03832787174	0.10381244596	0.1325309892	0.1123538248	0.1509833322	0.1558551542	0.1210803444	0.147318132
a37	0.04782725564	0.051872699	0.1085091051	0.14896364	0.15384221464	0.1502425083	0.1244935252	0.0767513592	0.1374977242
a31	0.0314958867	0.03402237708	0.11113227556	0.144012433	0.1386260146	0.1809954262	0.1063070286	0.12861345706	0.12479509206
a3	0.0428933893	0.041271984	0.1127100856	0.1543167262	0.14846037126	0.1824558437	0.1210519392	0.070053679	0.126785968
a11	0.03405867026	0.0363492446	0.10961977408	0.130248462	0.0983129146	0.1916647856	0.1311808924	0.1350909178	0.1334743662
a31	0.0281261106	0.0399517143	0.1091936884	0.12685289	0.0907616436	0.1955695234	0.176942854	0.1039699878	0.1286315874
a37	0.0495724826	0.0469983386	0.1247612014	0.1707483922	0.118766039	0.2080424392	0.0916043068	0.072300592	0.1172062066
a11	0.0395130274	0.0483147242	0.1337452348	0.1235028488	0.099058065	0.1635983806	0.122059502	0.1316667704	0.138541422
a39	0.03869788826	0.0582613434	0.1307725894	0.1212802364	0.0911165632	0.1707867372	0.164258012	0.106892514	0.1179341306
a20	0.0385204746	0.054497602	0.123402294	0.1253309486	0.0999886204	0.181024536	0.1644700492	0.1073312592	0.1054342028
a44	0.036079164	0.0433120805	0.1169939374	0.15458369	0.101311482	0.1830923406	0.1529047836	0.1074602394	0.104262285
a31	0.04525106406	0.058201617	0.0972864838	0.1099741092	0.104131754	0.1676868934	0.177103286	0.1264232206	0.1139415346
</S>	0.0650355398	0.07392123724	0.074116681	0.0966512862	0.09010609126	0.122981076	0.1234624482	0.1516831238	0.2020425168
