 	non	aveva	dove	a	stare	</S>
a31	0.139660532	0.146889282	0.164504622	0.186132991	0.209689078	0.153123485
a8	0.222759126	0.1520298846	0.136379074	0.1552938376	0.2366783568	0.0968597534
a31	0.318122814	0.1876809814	0.102177743	0.091160552	0.1976414112	0.1032165272
a28	0.255843836	0.1807017184	0.1141020766	0.0907945406	0.2683783504	0.0901794624
a37	0.239187138	0.1406927912	0.09512249	0.0877955408	0.344705595	0.0924964284
a31	0.247480948	0.146587879	0.1025001298	0.1280439458	0.281877406	0.0935096884
a18	0.208874956	0.129670458	0.1350140284	0.1264688386	0.277500338	0.1224714076
a0	0.154375704	0.0970477818	0.097736399	0.097361786	0.368527568	0.18495075
a23	0.126459936	0.0889550528	0.0838078176	0.0918954388	0.467815352	0.141066424
a8	0.1022837286	0.08804504952	0.07919334772	0.1063345862	0.481979664	0.142163612
a31	0.1094588964	0.095184428	0.0914113058	0.1287078448	0.41401963	0.1612179368
a20	0.1068936182	0.1019659908	0.1131512582	0.1601669052	0.308227556	0.209594692
a31	0.10917790746	0.0978169348	0.104650582	0.1029394168	0.3663519434	0.219063192
a20	0.13124788754	0.1139195044	0.1330419812	0.147582818	0.2354625552	0.238745261
a24	0.12100281874	0.1120930884	0.1291320439	0.1188073702	0.302749634	0.216215042
a8	0.11391360814	0.1107449022	0.1322144856	0.154056464	0.25185897	0.2372115672
a31	0.12114422308	0.1236351548	0.152282103	0.170479498	0.250837148	0.181621842
</S>	0.14041116488	0.1328795124	0.146637266	0.156007198	0.161866692	0.262198156
