 	deve	essere	bianco	</S>
a31	0.236274828	0.236731386	0.344409156	0.182584624
a11	0.2172886236	0.0919117304	0.5363719572	0.1544277006
a31	0.2263597814	0.0973445522	0.4636511072	0.2126445792
a37	0.2361756504	0.1018816668	0.4650171204	0.1969255526
a31	0.2956862046	0.1257970654	0.445780963	0.1327357662
a37	0.2404780138	0.1403071086	0.474415572	0.144799315
a31	0.2586028362	0.1496287644	0.4287085316	0.1630598768
a20	0.233560568	0.1671634564	0.437160492	0.1621155046
a31	0.2382617964	0.1332355346	0.408363931	0.220138738
a0	0.1953577264	0.1632183622	0.431229342	0.2101945986
a31	0.20735224	0.14225426	0.395741402	0.254652116
a20	0.180847344	0.187322546	0.357609104	0.274221028
a18	0.1941107252	0.180498183	0.32383144	0.301559636
</S>	0.185087454	0.2453608988	0.253534534	0.316017144
