 	la	casa	la	costruisce	il	mastro	</S>
a20	0.154460716	0.1471977432	0.156927926	0.1209315634	0.124083556	0.1468706556	0.149527824
a17	0.1044661854	0.0800029284	0.0877642366	0.21348509	0.175014756	0.216388998	0.1228777892
a10	0.193636458	0.0466434762	0.091219601	0.1856850888	0.207224844	0.1866406866	0.0889498428
a24	0.1282657124	0.0672028858	0.1151290756	0.1739293352	0.1438121012	0.2514748286	0.1201860764
a46	0.112637546	0.082334419	0.111102472	0.1460600756	0.1884223132	0.233630677	0.1258124904
a8	0.078647522	0.0682887788	0.120843144	0.166995611	0.2016669226	0.239902516	0.1236555174
a14	0.088852763	0.04282094904	0.0923901896	0.215674222	0.2199473608	0.2109110608	0.1294034598
a31	0.1769106078	0.0908684946	0.0850736154	0.1322754312	0.2436237966	0.1868354412	0.0844125892
a20	0.1256500338	0.05650914908	0.058602122	0.136818584	0.241611468	0.302961636	0.077847032
a41	0.0785793508	0.0460367544	0.0546096114	0.1290563574	0.225641476	0.329061052	0.1370153646
a29	0.0685739788	0.0400547644	0.0566597166	0.141551546	0.193217266	0.349954404	0.1499883464
a31	0.1171813588	0.0478965929	0.0730649294	0.139306532	0.1959389648	0.298677166	0.1279344158
a30	0.1027536434	0.0417766905	0.0574355646	0.1330462374	0.232101936	0.2715514088	0.1613345266
a31	0.1496572906	0.0522907189	0.0489126916	0.169147804	0.1864968168	0.264944269	0.1285504336
a28	0.0891234988	0.0507501086	0.0615328584	0.1386775794	0.206224385	0.2894826452	0.1642089808
a31	0.115528046	0.0640160148	0.0646459924	0.13969955	0.161061059	0.259842862	0.195206507
a17	0.122824794	0.0934804316	0.0953371246	0.1439363044	0.14879997	0.2189264	0.176694988
a20	0.1224837726	0.0966981854	0.101114449	0.138875422	0.146328057	0.204472626	0.1900275108
a31	0.190398104	0.1120432698	0.1065067448	0.16484543	0.148006844	0.1479928384	0.1302067732
a20	0.1225016414	0.1186377048	0.106354875	0.14042256	0.1492708998	0.19067775	0.1721345858
a29	0.15067218	0.1137047284	0.115071305	0.140271062	0.146723212	0.15530134	0.178256166
a31	0.167427814	0.1160440474	0.1114558856	0.16471166	0.153538946	0.135271422	0.151550228
</S>	0.1236626686	0.1263010238	0.1112596276	0.130556205	0.154702886	0.176573335	0.176944238
