 	dovevo	comprare	pane	ogni	giorno	</S>
a8	0.181576872	0.126580209	0.157608448	0.157088568	0.192118763	0.18502713
a31	0.2254325032	0.140793598	0.1009757354	0.1394660188	0.2483994724	0.144932664
a24	0.2061421812	0.1464304862	0.0887084162	0.16209148	0.2630225936	0.1336048176
a37	0.183466908	0.1360813439	0.0854765552	0.1774431454	0.327179946	0.0903521228
a14	0.1816619968	0.1163690092	0.078385583	0.1455413696	0.3437712772	0.1342707484
a29	0.1553038582	0.10382648046	0.0747660685	0.1734081848	0.369693848	0.1230015362
a0	0.1252258476	0.0755570645	0.0541538916	0.14791061	0.385374176	0.2117783962
a29	0.0997062454	0.0668454008	0.0518213986	0.1595969652	0.384422786	0.2376072136
a20	0.1393289358	0.0843292096	0.0668868306	0.1529450716	0.350701331	0.2058086496
a31	0.139205358	0.0877852066	0.0767501554	0.160215374	0.341092046	0.194951868
a24	0.148044659	0.0938227764	0.1337343714	0.1264573964	0.259657353	0.2382834312
a46	0.1533333948	0.1000375756	0.1219705464	0.1481188558	0.281038754	0.195500856
a31	0.159057294	0.127107102	0.1201277132	0.1502107968	0.249458014	0.194039074
a0	0.205824998	0.127644048	0.1231788448	0.1324684152	0.191173232	0.21971047
a20	0.1467135174	0.1228109178	0.1341360316	0.1398302772	0.219323118	0.237186154
a31	0.153993903	0.130675704	0.1243383284	0.1377631992	0.23030922	0.22291964
a46	0.187439383	0.13797496	0.12424137114	0.1233552278	0.158541963	0.268447128
</S>	0.148681317	0.13826861	0.1316803245	0.1301447058	0.172117496	0.279107558
