 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
a23	0.0890693972	0.083167396	0.0925348678	0.09575562	0.0914695252	0.099967292	0.1098161954	0.1318598906	0.206359834
a31	0.0940901528	0.0805903172	0.08459565742	0.0894856884	0.0930856892	0.0958784964	0.0969542974	0.2640813454	0.1012383282
a38	0.1148267976	0.093127298	0.10449890228	0.0921923192	0.0789625764	0.07832521	0.0801684208	0.261480201	0.0964182806
a17	0.1763314544	0.1150757268	0.093949471	0.1074293676	0.1054146214	0.0897403155	0.0892805188	0.1398781822	0.0829003636
a31	0.124015569	0.1462647704	0.1038992452	0.122808092	0.1116566294	0.0832638794	0.085261684	0.1332667746	0.089563356
a41	0.1387802308	0.1042932374	0.1133139862	0.091789506	0.1038379438	0.0858378156	0.07763383746	0.197295626	0.087217809
a17	0.110389206	0.1000519988	0.1077625984	0.0955644918	0.117004183	0.104604419	0.1003110056	0.1314996916	0.132812408
a31	0.0964655792	0.1101998806	0.112604251	0.0881454968	0.112778707	0.090462854	0.0905848766	0.1418154806	0.1569428532
a0	0.0841602086	0.0732750898	0.1328121746	0.089242337	0.0846369614	0.1135150064	0.103882692	0.171777447	0.1466980706
a31	0.0785640184	0.0609132397	0.120111045	0.0744836148	0.0936835792	0.108483804	0.0909005848	0.197776277	0.1750838794
a37	0.0795970056	0.0717376156	0.15369923034	0.087314364	0.0777087204	0.1150769186	0.113776353	0.1511487808	0.1499410216
a10	0.0581956516	0.0488533928	0.1360427326	0.0869733334	0.085658242	0.1100922318	0.0939528434	0.207133339	0.173098258
a31	0.0672017814	0.0544733442	0.1287568091	0.0849483156	0.0921156568	0.120074441	0.0998765142	0.186337942	0.1662152074
a16	0.076040436	0.0682502943	0.160385341	0.0926076728	0.083422453	0.1121801644	0.1035402	0.168584402	0.1349890388
a17	0.05980957486	0.05064511942	0.14074707456	0.09213794	0.0927585728	0.1044939688	0.095239604	0.174624826	0.1895433278
a20	0.06334763292	0.05325625622	0.14943643534	0.0854401518	0.0739723284	0.1192583	0.1013697338	0.1943534808	0.1595656908
a31	0.0638126872	0.05195180272	0.1349871586	0.0752122718	0.0693086014	0.1109549612	0.0875302214	0.215646124	0.190596194
a39	0.0728915452	0.06625819036	0.1504492754	0.0859480464	0.0637696506	0.1270180642	0.113413133	0.1641530634	0.156099033
a20	0.0623929672	0.0568537284	0.1472661598	0.081844517	0.07203098	0.1328286712	0.0886393798	0.1986522992	0.159491295
a31	0.0630526438	0.0518482324	0.1206905334	0.0682194646	0.0562536174	0.1223132672	0.0878399008	0.25216064	0.1776217036
a33	0.0720469434	0.069146468	0.1053574016	0.0762757508	0.0620387784	0.1496586758	0.116102053	0.1949987244	0.1543752158
a48	0.084589778	0.065133877	0.1103562894	0.0798323366	0.0658845608	0.1009686148	0.0992217008	0.239062494	0.1549503342
a31	0.0916913424	0.071052417	0.1227194256	0.1020912854	0.0836150664	0.0920482008	0.0752194576	0.1619069568	0.199655856
a19	0.0768390332	0.0622278926	0.087213779	0.0810717574	0.071439252	0.1199467036	0.107503643	0.205754616	0.188003352
a31	0.0830732772	0.065757127	0.0964535978	0.0784368478	0.0686728896	0.1115918654	0.130873578	0.218983208	0.146157592
a37	0.081459714	0.088264125	0.0868042968	0.1016955172	0.088360053	0.0942543452	0.1346512352	0.1955575614	0.1289531524
a31	0.075161432	0.0704873692	0.083070606	0.0863388662	0.0786194972	0.109753968	0.1234269738	0.22263857	0.150502728
a8	0.0899078096	0.086122964	0.0834111494	0.10355521	0.0963761156	0.0902511352	0.154170582	0.169930314	0.1262746992
</S>	0.093637296	0.082357113	0.0843406066	0.093442167	0.0798475484	0.0879275194	0.104473644	0.2182169592	0.15575714
