 	sul	muro	vuole	uno	specchio	</S>
a33	0.197949283	0.164351474	0.198003136	0.168806806	0.1509931792	0.119896104
a31	0.336520626	0.25825458	0.1440637616	0.0887826008	0.098159365	0.0742190456
a23	0.414258104	0.270288234	0.1374016832	0.0682179212	0.0669090222	0.0429250222
a31	0.417916572	0.25958423	0.134419474	0.0630294872	0.0749224802	0.0501277882
a28	0.435183146	0.274050742	0.157213004	0.0639483333	0.0446302026	0.0249745916
a31	0.429320068	0.256106786	0.173521217	0.0566903505	0.053400311	0.0309612277
a39	0.396334282	0.2518430872	0.189448116	0.0507291784	0.0699034531	0.04174187272
a31	0.336161308	0.200243766	0.1828063368	0.0488073715	0.1200188848	0.1119623174
a41	0.3311860874	0.1980775926	0.128499437	0.0626297312	0.1947143893	0.0848927758
a37	0.379802356	0.1736521064	0.1232854384	0.0423503535	0.1094887434	0.1714210182
a41	0.3272613008	0.209372352	0.1063674074	0.048696884	0.122804878	0.185497233
a31	0.243562194	0.212204088	0.1160615634	0.0768794296	0.147090027	0.20420272
a37	0.1872295268	0.154244429	0.1255410234	0.1192541476	0.189909087	0.223821778
a18	0.1863283934	0.185204533	0.120338196	0.0935610648	0.1745679116	0.239999894
a31	0.156947797	0.1529213834	0.1307080762	0.15085933	0.204446464	0.2041169004
</S>	0.15934173694	0.14994232472	0.116117666	0.1515733792	0.137874822	0.285150096
