 	ancora	non	mi	sono	vestito	</S>
a8	0.167747124	0.14354828	0.219324638	0.111795196	0.184860194	0.1727245592
a31	0.23536849	0.23353615	0.246440542	0.06176755114	0.1215338426	0.1013534074
a10	0.238186358	0.25533721	0.231220392	0.0874033028	0.0945265074	0.0933262304
a31	0.293376568	0.272830764	0.229011838	0.0439627948	0.100058343	0.0607597258
a18	0.321620644	0.2362938594	0.29794723	0.0482210324	0.0611055466	0.034811683
a31	0.283034126	0.233440264	0.306820848	0.04959632452	0.06257539168	0.0645330604
a20	0.297212777	0.1997673372	0.344344004	0.0436755092	0.0678011002	0.0471992154
a31	0.279195438	0.216084974	0.253386948	0.0559588896	0.0854868791	0.1098868784
a13	0.284142948	0.150315718	0.316104546	0.0661042576	0.0985357884	0.0847967352
a35	0.219172154	0.155749948	0.31933067	0.054540016	0.0999085038	0.1512987106
a39	0.1794766968	0.1204440514	0.3013418492	0.071400442	0.1084297934	0.2189071246
a46	0.1778925734	0.1415610512	0.271545469	0.085175796	0.1176638472	0.2061612728
a31	0.178322086	0.148533924	0.207843054	0.1143341124	0.124653152	0.2263136692
a20	0.1614046608	0.126470768	0.1402684606	0.1849102672	0.144477434	0.242468408
a31	0.15885908548	0.131081758	0.1750695246	0.1514007244	0.151341456	0.232247434
a39	0.1508007699	0.1221284786	0.1235780106	0.203983941	0.151409506	0.2480992748
a31	0.14934476544	0.1308142056	0.1527207375	0.1647843316	0.18937515	0.212960786
</S>	0.15598861472	0.137403546	0.1348449428	0.170324369	0.169853866	0.231584673
