 	l	ho	sentito	quando	veniva	</S>
a31	0.164445714	0.1281156486	0.1441686718	0.1641552792	0.2823726194	0.116742058
a46	0.2282173506	0.176301679	0.1523167078	0.1260962262	0.1045712642	0.212496776
a41	0.201894794	0.2578104966	0.1635153354	0.1503597776	0.1201751634	0.1062444696
a31	0.221175058	0.177936666	0.1883830392	0.1492175108	0.160651132	0.1026365886
a24	0.230082148	0.148615682	0.170259364	0.1633296592	0.185415229	0.1022979246
a31	0.232814907	0.1815233258	0.168626598	0.160762279	0.108423469	0.1478494116
a15	0.3367220714	0.125445094	0.150804906	0.1093050498	0.0983530886	0.1793697962
a46	0.214455562	0.172540938	0.153780015	0.1255254024	0.1138355226	0.219862575
a31	0.2058668628	0.153593557	0.143902198	0.150340898	0.1272309306	0.2190655734
a0	0.19401174	0.132088633	0.130165924	0.149151286	0.175641997	0.2189404332
a41	0.1759874356	0.1421188328	0.1237010504	0.134237386	0.1302224392	0.29373288
</S>	0.14694647266	0.1065096626	0.1340031664	0.14159689392	0.137970909	0.332972906
