 	è	possibile	che	è	entrato	da	qui	</S>
a13	0.1423364972	0.200934855	0.140053226	0.124468866	0.1175671722	0.1214420448	0.080580347	0.072616993
a31	0.10487371	0.1684159826	0.176023185	0.148573926	0.0697134534	0.1337516652	0.12290675194	0.0757413416
a15	0.1285590048	0.19595478874	0.201440336	0.2173691894	0.0756334234	0.0878862034	0.05850018048	0.0346568672
a20	0.0813905178	0.19476669442	0.1905606802	0.151857718	0.06221986944	0.09766048	0.153887332	0.0676566644
a11	0.082045904	0.194097149	0.208823038	0.1453406294	0.0522002651	0.094598706	0.1213932418	0.1015011106
a31	0.065168803	0.1764106608	0.2054441352	0.129134124	0.0654317484	0.105245662	0.1554211692	0.0977436964
a39	0.0725802326	0.1955732486	0.209217013	0.1237564446	0.0868020152	0.0843113234	0.13603662728	0.0917231046
a46	0.0773523536	0.1806031086	0.1981527706	0.11742393	0.0478029288	0.088507949	0.1954994086	0.0946575058
a18	0.1363643216	0.166819563	0.106899685	0.0951139868	0.093304038	0.1172511032	0.1768239208	0.1074233772
a31	0.0982200462	0.160584965	0.1102458524	0.098918968	0.1435163812	0.1303191	0.159541806	0.0986528846
a13	0.1022481576	0.139863034	0.1059766512	0.1085907378	0.17294514	0.127975182	0.115337742	0.1270633664
a31	0.144268085	0.122219683	0.0849603772	0.0858693164	0.1211141778	0.15050857	0.137826647	0.1532331378
a46	0.11217634446	0.100559078	0.093340076	0.0837547914	0.1567556228	0.1214598842	0.129017571	0.202936653
a31	0.13683600844	0.0960520934	0.0948728628	0.0873440162	0.128591019	0.151130606	0.1328518528	0.1723215208
</S>	0.1137646632	0.0992044513	0.093857103	0.0807928076	0.1365919781	0.1058329714	0.1261354228	0.2438206028
