 	la	donna	pulisce	la	casa	l	uomo	no	</S>
a23	0.111660116	0.0597462006	0.0842861798	0.084410354	0.0965939062	0.1117147294	0.129272034	0.142590897	0.179725584
a31	0.0848588396	0.03946318708	0.0831050232	0.0761754844	0.0918710808	0.1315621406	0.13981215	0.206043528	0.147108576
a24	0.1475734032	0.04327031796	0.0946582956	0.0895732754	0.0904272366	0.1300175632	0.1339655866	0.199403206	0.0711110998
a31	0.140830714	0.02769167382	0.0855228568	0.1064104418	0.1013855986	0.1100908662	0.118194838	0.208045954	0.1018270768
a35	0.1063542712	0.02357104884	0.085703243	0.1075170516	0.0864049296	0.10567295966	0.11289554244	0.2261831012	0.1456978405
a28	0.0583278426	0.01468056536	0.1027783444	0.11345543	0.096641776	0.1137115231	0.11746737114	0.223271702	0.159665436
a37	0.090873907	0.01941691784	0.1232579836	0.1146271972	0.0949016402	0.11381854914	0.1209094874	0.208786188	0.1134081133
a39	0.098365948	0.01824523862	0.0916771871	0.1044806422	0.0932670876	0.11857767712	0.1281077084	0.220064844	0.1272136928
a20	0.0671967892	0.02068670406	0.0720169646	0.0919724786	0.0775156924	0.1215908614	0.140789892	0.243679518	0.1645511046
a31	0.0548830794	0.03006078196	0.0678398056	0.089933289	0.0708044914	0.130148472	0.1664324198	0.217792938	0.1721047374
a44	0.1030053986	0.03212512642	0.0752692508	0.0687135914	0.0521015136	0.1077595264	0.1351687468	0.2700593372	0.1557974992
a31	0.0396618195	0.0210904966	0.032610718	0.0495031704	0.0488635766	0.1532513534	0.2176777414	0.2509670152	0.1863741078
a34	0.0784932126	0.03304524648	0.04556866	0.0463889418	0.0573974752	0.123844162	0.1769727416	0.2972928236	0.140996746
a31	0.0634746644	0.0414390008	0.061587372	0.067356919	0.0791569832	0.1139461594	0.142888764	0.29754662	0.1326035486
a18	0.086390719	0.0448014169	0.0519308476	0.0605469938	0.0561165672	0.1103463366	0.135320384	0.322007216	0.1325395206
a31	0.0851764986	0.05205610492	0.0596588312	0.0673621498	0.0626920834	0.1033847836	0.141045996	0.292433862	0.1361896812
a18	0.0783143468	0.0626430372	0.0589406102	0.059093388	0.0639680568	0.1350169438	0.205940566	0.2251260932	0.1109569754
a7	0.0836540634	0.0639558044	0.0641807832	0.0652818018	0.0646510306	0.106820336	0.175982665	0.219183138	0.156290373
a17	0.0775706482	0.0716804081	0.065179987	0.0650640134	0.0677518512	0.0843969722	0.15590165	0.21031537	0.202139112
a31	0.0669309408	0.062968199	0.062164383	0.0651867712	0.072987136	0.092146446	0.1255958112	0.22525697	0.22676329
a24	0.10059966	0.1050608004	0.0795284626	0.0742691796	0.0774791871	0.0931482658	0.17480676	0.173022548	0.122085106
a31	0.0763133872	0.0728615965	0.0694966556	0.0731526558	0.080080542	0.089322928	0.1830426446	0.1868050452	0.168924533
a43	0.1083270382	0.1174646784	0.08300414	0.0779653668	0.0789698642	0.097058055	0.184199808	0.142452848	0.11055821
a39	0.083259752	0.0837679376	0.0767662683	0.0725036918	0.082031832	0.099161015	0.1924329454	0.167832508	0.142244056
a31	0.0802870474	0.09996080384	0.0753649524	0.0772094	0.086559482	0.1003328224	0.15095393	0.1830476708	0.1462838492
</S>	0.1117051333	0.09805227992	0.0896246564	0.0799798648	0.0773117874	0.089841255	0.19917722	0.1484302412	0.1058775776
