 	non	ho	dove	d	andare	</S>
a20	0.1706747892	0.155333832	0.1396430814	0.1264128262	0.174173952	0.233761496
a31	0.2307525764	0.1618924538	0.1850333628	0.1458180162	0.156571672	0.119931923
a37	0.306803158	0.232231938	0.1600201616	0.0762458808	0.1094088402	0.1152900154
a31	0.290945864	0.269349938	0.188971107	0.0871086424	0.0994000826	0.0642243084
a29	0.272807736	0.281984238	0.223614608	0.0854753756	0.083358002	0.0527600376
a41	0.210006473	0.199156948	0.1893758448	0.0838956652	0.1510936186	0.1664714714
a31	0.229667778	0.1755848148	0.187536264	0.1080575376	0.1607446892	0.1384089024
a18	0.212910004	0.188413918	0.216665025	0.1342880544	0.120412513	0.1273105114
a31	0.1716411826	0.184122836	0.1523670742	0.1420145774	0.1718225192	0.17803182
a39	0.1446750704	0.1138518258	0.141166513	0.1658604414	0.178053668	0.2563925152
a31	0.155836913	0.138403754	0.1256794384	0.159544405	0.239617776	0.180917716
a8	0.1337021981	0.114719918	0.1248567922	0.178202373	0.200774944	0.24774379
a31	0.1174761418	0.110871467	0.1164470148	0.179022876	0.249089326	0.227093176
a8	0.1312290814	0.1214548792	0.14183663	0.1820990394	0.191031427	0.2323489572
</S>	0.1147291025	0.1095192558	0.1280131212	0.169424522	0.208444205	0.269869804
