 	ho	finito	di	scrivere	</S>
a38	0.176269318	0.184458281	0.18660601	0.270058508	0.182607892
a31	0.3008441006	0.1415738414	0.1995379128	0.203482354	0.1545617758
a15	0.422721532	0.1819191494	0.1813297842	0.1440925008	0.0699370396
a18	0.406678398	0.190268202	0.1985490266	0.1375927908	0.0669115796
a31	0.36926456	0.222520552	0.2101804874	0.1127358748	0.085298486
a37	0.390320962	0.1991125782	0.1800452572	0.11289028586	0.1176309054
a31	0.308869	0.202571626	0.2027623024	0.1194481616	0.1663488522
a0	0.337387426	0.2246945914	0.1697281208	0.130452488	0.137737384
a31	0.258601348	0.1517155762	0.1534193506	0.178872921	0.257390792
a18	0.263698024	0.1540648616	0.17090509	0.22993282	0.1813991912
a31	0.231452834	0.1446426286	0.150570996	0.233957746	0.239375804
a39	0.1597274052	0.128104981	0.173216751	0.315352144	0.223598726
a20	0.174046334	0.1121708192	0.177865818	0.26670451	0.269212512
a31	0.1627104288	0.1112236004	0.2166412528	0.26255325	0.246871462
a8	0.1393729914	0.1255852616	0.190642524	0.287319578	0.257079632
a20	0.122149094	0.1189798288	0.226406622	0.277514618	0.254949806
a31	0.149158141	0.1482012924	0.19771534	0.270176744	0.234748464
</S>	0.1713154092	0.14761190186	0.160569871	0.274767076	0.245735752
