 	voglio	che	Maria	venga	domani	</S>
a31	0.145130429	0.150516448	0.159731848	0.221942581	0.125164456	0.197514224
a35	0.226233625	0.200632496	0.1217985004	0.2515558432	0.0660670724	0.133712463
a31	0.301254814	0.254141969	0.087352069	0.1725624126	0.085625974	0.0990627576
a37	0.347199912	0.234989472	0.1059930316	0.215224904	0.0495863432	0.0470063076
a31	0.30945452	0.2492311852	0.0993113172	0.2424078497	0.0557024082	0.0438927182
a11	0.31580801	0.226585194	0.0895086376	0.244869775	0.0637343948	0.0594939444
a31	0.250745342	0.221829812	0.13319759774	0.2789111178	0.0525647596	0.0627513404
a20	0.204749006	0.1792107412	0.0668338874	0.3217892104	0.1265995544	0.1008176006
a13	0.229040828	0.1854347292	0.0994736598	0.3051626638	0.0680000618	0.1128880356
a20	0.196806516	0.1217425928	0.104109342	0.3247828154	0.118770705	0.1337880378
a31	0.2023957732	0.128495127	0.102792444	0.3082755206	0.1045674662	0.1534736646
a18	0.216276964	0.158163246	0.0915834068	0.2904559426	0.128270302	0.115250158
a31	0.275694166	0.1222229922	0.0821983266	0.2158113308	0.13399642	0.1700767804
a36	0.20161197	0.169204713	0.0941763024	0.1864851208	0.1364225	0.2120993912
a31	0.14783008	0.14185329	0.103518569	0.1884544336	0.1721414532	0.246202186
a20	0.177121386	0.1265096616	0.118541528	0.1503492532	0.173263282	0.254214889
a31	0.1605980616	0.143243538	0.114775567	0.167044418	0.197531774	0.216806616
a20	0.17623927126	0.13573656054	0.1319786222	0.13513299	0.17527511	0.24563744
a31	0.1471446808	0.153510872	0.1316905484	0.157215082	0.190157566	0.220281256
</S>	0.1747617158	0.1398662346	0.140919504	0.131441165	0.183233641	0.229777724
