 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
a31	0.1228152548	0.126940314	0.113569992	0.1317569	0.1389451	0.1090724292	0.147333	0.1095669958
a39	0.2077304212	0.126544327	0.0934676936	0.1226732104	0.0909866766	0.1395851614	0.1678207397	0.051191753
a41	0.157112338	0.12761426	0.1588666284	0.149292952	0.0579576033	0.0722311896	0.17145399346	0.1054710336
a39	0.155651341	0.138750505	0.1465644664	0.15509338	0.0708843988	0.0519443558	0.20486718052	0.0762443154
a20	0.1610787608	0.142153446	0.1177010112	0.1651910088	0.0931343042	0.0536280528	0.2093165476	0.0577968664
a0	0.155473065	0.119223005	0.1045809296	0.199633574	0.0918323552	0.0595762706	0.211477463	0.0582033312
a31	0.1500157334	0.10810525	0.0771104302	0.194118788	0.0796883896	0.0852396006	0.2156846094	0.0900372252
a13	0.1662188702	0.0888834174	0.078991486	0.2021605938	0.0410226673	0.0688112054	0.2092515058	0.1446602654
a17	0.1400161004	0.0901560066	0.09190696566	0.20790625994	0.051713013	0.0598617408	0.1607040334	0.197735885
a31	0.124448496	0.0922742406	0.100772594	0.1576740976	0.077510273	0.0716981472	0.1864339588	0.18918819
a3	0.1605684874	0.1014613486	0.0924133388	0.10127278732	0.10041471	0.080128519	0.127224373	0.236516429
a46	0.09728096274	0.08587245712	0.10175367619	0.19361372298	0.073844936	0.0765590458	0.11292633	0.2581488612
</S>	0.10058356528	0.08984184786	0.08263207046	0.10212724492	0.1032368098	0.0941298302	0.139607598	0.28784101
