 	lo	sentii	che	viene	</S>
a43	0.2427523878	0.175987086	0.11534512	0.306912936	0.1590025036
a17	0.273279752	0.22677135	0.1485809302	0.212322504	0.1390454598
a11	0.281112224	0.289903344	0.1419062958	0.1754758724	0.111602262
a31	0.24828259	0.295088334	0.179319704	0.18790133	0.089408043
a46	0.1675146576	0.27296825	0.178613442	0.286227772	0.0946758792
a6	0.1820567748	0.2561317	0.144885479	0.275980692	0.1409453466
a31	0.178648864	0.2400622326	0.1265593432	0.335172241	0.1195573328
a15	0.2758412892	0.2110398068	0.1001431492	0.24104975	0.1719260268
a20	0.2490008204	0.1483441378	0.104899135	0.322249106	0.175506828
a31	0.20194736	0.1469432154	0.0974216654	0.280374108	0.273313648
a17	0.231557962	0.177329885	0.1253753292	0.218913842	0.246823004
a31	0.1977857836	0.1094609076	0.1259108626	0.264992284	0.30185015
a13	0.181764376	0.1454283752	0.157051542	0.232675851	0.283079836
a39	0.16596609	0.1144978988	0.1230836256	0.294008302	0.302444068
a46	0.1387273166	0.13514312	0.163331306	0.29164388	0.271154378
a31	0.1237486054	0.135107162	0.1484354152	0.317428556	0.275280258
a18	0.1725457748	0.133301583	0.17464389	0.25047216	0.269036586
</S>	0.1510193646	0.139036835	0.15890688	0.268653276	0.282383632
