 	non	è	li	dimentichiamo	mai	i	i	padri	e	le	madri	</S>
a31	0.0580671774	0.0467418088	0.0958827112	0.074982518	0.063573548	0.0699079546	0.078488009	0.068797806	0.101286446	0.1166163756	0.1161076866	0.1095479252
a18	0.091645484	0.05985931872	0.076843356926	0.093059434704	0.02352215212	0.0429616278	0.0615359824	0.05046819034	0.1012354538	0.0923629574	0.2233530896	0.0831529332
a31	0.1564183398	0.103645011	0.0878127916	0.064616942	0.018482714716	0.03663509794	0.0495855362	0.05093474006	0.093419748	0.0910577888	0.1173614652	0.1300298522
a20	0.1803281382	0.1402645185	0.0958471248	0.08884341426	0.01577829644	0.02976899162	0.0381771026	0.04574264874	0.1212974608	0.1115077606	0.0784839794	0.0539605748
a15	0.137605435	0.09054671442	0.0875354128	0.0841542605	0.014930849	0.02764301888	0.036701529	0.03801017986	0.11711724226	0.1113245958	0.1267216882	0.1277090968
a31	0.138262772	0.08181937366	0.08154340208	0.07469718364	0.01219275854	0.02531005254	0.0353186264	0.03560910032	0.11283419508	0.1093258664	0.153297085	0.1397896058
a20	0.171097062	0.1049655273	0.093008658	0.0896844962	0.0187135365	0.0327836022	0.0391905088	0.0470379558	0.1188242914	0.1075566668	0.11232075944	0.0648169358
a11	0.0940454228	0.0813367134	0.0783847666	0.0933507436	0.02979949608	0.0400731832	0.0497963074	0.04253186306	0.13251406666	0.1274571494	0.12234400012	0.1083663162
a0	0.113148896	0.085714713	0.07783161	0.0870961898	0.02352029384	0.03278316	0.0455625318	0.0371484789	0.1362775952	0.1272892628	0.1417200272	0.0919072261
a41	0.080164408	0.05896901728	0.0690259268	0.0746294032	0.0140477985	0.0324769363	0.04909662292	0.03671157694	0.15572637374	0.1589083292	0.1126643885	0.1575792128
a20	0.077729476	0.0508550998	0.063899493	0.0709547778	0.016723238	0.0343740546	0.044849208	0.04308244448	0.1645170957	0.1708046738	0.08921603912	0.1729943918
a31	0.0805557308	0.04906553572	0.0587240249	0.0739259586	0.0224263358	0.0402914792	0.0502350676	0.04467081862	0.15931797688	0.1825258764	0.08980883274	0.148452334
a30	0.0806460348	0.0711204418	0.0832319764	0.0870484768	0.0319472206	0.0468919376	0.0557143808	0.04845618688	0.152769466	0.192778144	0.0774250244	0.0719707163
a31	0.0696499422	0.0770700738	0.0512817614	0.0838940042	0.02694034	0.0420923662	0.0482608556	0.03935282594	0.125982996	0.1693653666	0.11463359698	0.1514758262
a20	0.071461786	0.055316789	0.0503981268	0.0968944654	0.0321558554	0.05443329	0.0659218066	0.06063179308	0.123646979	0.2148789668	0.09895811646	0.07530198992
a31	0.08048509	0.0625875524	0.0510346146	0.0913137846	0.02943613732	0.0463090388	0.054035818	0.0528368122	0.102456687	0.207493506	0.10762047188	0.11439050672
a37	0.070716313	0.046541382	0.0437008024	0.0800057978	0.0333074744	0.046769583	0.0603965866	0.0619091452	0.1098536788	0.211152646	0.1177061204	0.1179404656
a35	0.0826725334	0.0482097536	0.0461341278	0.087970022	0.0350726804	0.050135497	0.061093519	0.05981803446	0.1032584292	0.20489558	0.1144013634	0.1063384602
a11	0.0584722646	0.0415958241	0.04504558366	0.07874398588	0.030568844	0.04185244	0.0701609584	0.0555647454	0.1171338618	0.187725456	0.1099475226	0.163188492
a46	0.0692277324	0.0425231656	0.05056724376	0.07454195348	0.0283141888	0.0425400536	0.07179746	0.0677330588	0.1059235146	0.163388286	0.1212564268	0.162186922
a31	0.0507802976	0.043310853	0.0415060524	0.06956932252	0.0343034278	0.048386361	0.0700871988	0.0554662676	0.10318862	0.156981906	0.1421012654	0.1843184392
a46	0.05749423784	0.05392042988	0.0715812612	0.0898844262	0.0457022874	0.0535232288	0.06908793	0.0669472066	0.0921536968	0.1156583216	0.1276856606	0.1563613236
a18	0.05685631982	0.04850453092	0.04723643682	0.06194792964	0.04271977234	0.046737572	0.0747307258	0.0537361406	0.103969104	0.159875794	0.1400013242	0.1636843432
a31	0.04659503174	0.04547088454	0.055969224	0.0656834437	0.0445087212	0.0492887546	0.0748356416	0.06673804	0.1036447162	0.1401207656	0.1245366768	0.1826080792
a1	0.06337726604	0.05725860324	0.0789316028	0.08548782626	0.0471245972	0.0522668049	0.0726519196	0.0547044458	0.0931517928	0.1168647784	0.10047576	0.1777045956
a20	0.053977128226	0.04951728254	0.05703502884	0.068196347	0.05181545012	0.0509177154	0.0890570612	0.0485970812	0.0954912584	0.1344108832	0.1343531648	0.1666316024
a31	0.048048380626	0.04534969632	0.0563904766	0.0679216274	0.0508129646	0.0538156853	0.0911972222	0.0579098578	0.1082503308	0.1388245602	0.1394798266	0.1419993824
a27	0.06787563466	0.06079156644	0.08265644234	0.08161343956	0.0491236042	0.0510031464	0.0696010414	0.0527388674	0.0966736548	0.123285588	0.09897064	0.1656664016
a31	0.05316539064	0.0551186863	0.06371692124	0.0682045328	0.05711384166	0.0529091868	0.0850966416	0.0546919554	0.0900460734	0.120299621	0.12635629	0.1732808952
a46	0.0722826598	0.0652139571	0.081644421	0.08362802428	0.05661099626	0.0561274234	0.0713725834	0.0576464002	0.0920209822	0.1084033062	0.105380044	0.1496691816
</S>	0.05679237164	0.05739889502	0.06085167432	0.06507316514	0.06276585952	0.0630839006	0.0759511196	0.0545800826	0.0934692752	0.1150542708	0.1221881282	0.1727912586
