 	non	aveva	cosa	a	fare	</S>
a31	0.1613502892	0.153341848	0.182149804	0.205925629	0.155283452	0.141948966
a18	0.271857618	0.1897978552	0.149243413	0.1552302928	0.134493571	0.0993772576
a24	0.22460255	0.1467499868	0.1289327368	0.171472144	0.177317242	0.1509253308
a20	0.24133928	0.1712013028	0.13981339	0.184553474	0.146059988	0.1170325702
a31	0.233340518	0.1604584836	0.112872124	0.206577978	0.1789383548	0.1078125664
a18	0.182771542	0.115650563	0.0749658338	0.230341466	0.258502504	0.137768058
a31	0.168929266	0.130360466	0.1085616504	0.216011482	0.204564394	0.171572736
a17	0.1631923844	0.135592799	0.0941180212	0.162983968	0.22763425	0.2164785652
a20	0.1783278986	0.1445562548	0.110314292	0.172808714	0.21286794	0.181124912
a31	0.1499208178	0.1668943576	0.1360079656	0.156974292	0.222768542	0.16743404
</S>	0.1590984247	0.1431050828	0.1413622968	0.1248179128	0.151651074	0.279965204
