 	io	non	ho	niente	da	mangiare	</S>
a8	0.130220444	0.1180349268	0.1176314182	0.15876763	0.136413638	0.1916916992	0.147240228
a31	0.1916230708	0.127487821	0.1224609998	0.1567948378	0.1224645772	0.1744961316	0.1046725552
a8	0.214726156	0.160166703	0.1691109648	0.157439806	0.110692762	0.1238351656	0.0640284572
a20	0.16878468	0.109517632	0.1193138578	0.1508265702	0.167168052	0.186350212	0.0980389752
a31	0.260309002	0.171285191	0.1500028592	0.157160411	0.0810507028	0.1244091836	0.0557826494
a14	0.298745374	0.173914408	0.1384884266	0.201256421	0.0475315582	0.098385966	0.0416778506
a31	0.239713716	0.1403426596	0.114498877	0.1733782416	0.0915944646	0.154938732	0.08553331534
a13	0.2135979944	0.1230819242	0.141938572	0.2713139006	0.0647693778	0.117840727	0.0674575051
a37	0.1856003262	0.0826464524	0.1000765882	0.2673381448	0.0841409198	0.1795074814	0.1006901246
a10	0.1281497588	0.0800399318	0.0894268704	0.361175538	0.098761474	0.156386777	0.086059638
a20	0.0943858536	0.0666985908	0.0605910316	0.382812984	0.1356982258	0.1729028404	0.0869104682
a7	0.0879045712	0.0723742502	0.0643888102	0.333337994	0.1154656268	0.2310065748	0.0955221622
a18	0.0636274276	0.0569125732	0.0525373444	0.37197058	0.086392061	0.2387856454	0.1297743728
a44	0.06207668208	0.0583041249	0.0537079934	0.3784331084	0.0944137444	0.2002976929	0.1527666216
</S>	0.0746119921	0.07874645314	0.0716462632	0.318035581	0.1053367208	0.189945031	0.1616779474
