 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a20	0.0483530978	0.0825129146	0.0620768756	0.0528896548	0.0449499064	0.0520277838	0.0546273208	0.0600974996	0.0695271138	0.0750941062	0.091438852	0.0939111414	0.0579851116	0.0622968516	0.0301666556	0.0620450994
a11	0.0966095904	0.0974022298	0.1119129624	0.070714249	0.0575712044	0.0923165698	0.0570264774	0.0599183608	0.0718968486	0.0731664926	0.0521845222	0.05825602	0.02417673648	0.04180414848	0.01399652758	0.0210470496
a38	0.0773609098	0.1007751856	0.109448518	0.090137132	0.0575585496	0.0849218714	0.0729893326	0.0776011782	0.073551079	0.065149172	0.0534410918	0.0500918036	0.0200977782	0.0338277726	0.00997322226	0.0230753852
a37	0.0547669252	0.0727523788	0.101089798	0.092035524	0.0591705764	0.06767139	0.0673751826	0.084931647	0.0866474202	0.0982745442	0.0704231784	0.051539442	0.018610042466	0.0331161636	0.01928968482	0.02230607672
a11	0.055083992	0.0666673814	0.0830655604	0.0774263154	0.0576269596	0.0615855088	0.068469725	0.087384996	0.0830350982	0.0987654358	0.0969526262	0.0503536648	0.01888013686	0.03708708442	0.0226499899	0.03496551028
a13	0.0506507638	0.0636948074	0.0719015308	0.071702462	0.0650767044	0.062687321	0.0695593418	0.078182952	0.076016153	0.096260385	0.1089629304	0.0624147796	0.01758211016	0.0382336236	0.02233617732	0.04473799248
a37	0.0486164196	0.0419772784	0.0602814312	0.0680857916	0.0861731266	0.0819189644	0.0912362978	0.094359848	0.088614412	0.0801168348	0.0768706906	0.0530809918	0.01774053676	0.0403242686	0.02339480594	0.0472082847
a31	0.0568727188	0.0620402174	0.0664646896	0.070327266	0.0709915554	0.0832997132	0.075370701	0.0872216796	0.0811148972	0.080416057	0.0713399216	0.0513387726	0.02223349148	0.0443783506	0.02334756342	0.0532424056
a24	0.0485832114	0.0519847214	0.0727805882	0.0608072968	0.0588618274	0.0842282342	0.0760604272	0.0902003668	0.099099927	0.100469759	0.0678614222	0.058425693	0.0225475346	0.0376585296	0.0228686386	0.04756180044
a31	0.0440836572	0.0858224564	0.0571685238	0.0629785778	0.0606192906	0.091203714	0.080354689	0.0863016102	0.0833706	0.0845153434	0.069895033	0.0502235888	0.0189005054	0.0476995884	0.0167494366	0.06011338632
