 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a17	0.1070885514	0.08459971	0.0952031726	0.125571744	0.130354782	0.1325074668	0.174776736	0.149897835
a20	0.0995279838	0.065511714	0.0973166096	0.0650630508	0.1263462628	0.136099424	0.245401716	0.164733231
a28	0.15439848	0.10612437066	0.108635592	0.0706884966	0.113268302	0.126151508	0.206060976	0.1146723088
a7	0.167569578	0.1414489629	0.140676399	0.0853718686	0.112719084	0.1181318428	0.149983258	0.0840989896
a20	0.142284758	0.12402320172	0.1267129324	0.0931153142	0.1218116112	0.129692482	0.156620516	0.105739199
a31	0.198829426	0.1121655921	0.1653805772	0.07549251088	0.1159553696	0.0980812326	0.133572	0.100523282
a11	0.208610954	0.11301618474	0.1655566012	0.07015053166	0.1121615404	0.0788298106	0.1563412532	0.0953331212
a31	0.140534626	0.09528000474	0.1387041618	0.0525865014	0.1233874906	0.1101946448	0.1752503308	0.164062256
a11	0.186449722	0.1361266258	0.15767151372	0.04931269286	0.1241851988	0.110760796	0.1622500956	0.0732433816
a41	0.1025212914	0.0916660156	0.1311301373	0.0390951609	0.134697351	0.1105749746	0.206449608	0.1838654916
a8	0.079091912	0.070783488	0.1211403442	0.03999464166	0.1265814072	0.1136520786	0.221979304	0.2267768282
a30	0.082234482	0.0893491962	0.1315066366	0.0415003754	0.124328594	0.1210388536	0.220771108	0.189270724
a31	0.0984332466	0.0983285176	0.161660809	0.039459993	0.1211728394	0.0956231078	0.202581036	0.1827404608
a13	0.1272226986	0.1237486566	0.1510600748	0.05419191286	0.112100905	0.1152720574	0.198904978	0.1174987202
a31	0.0905811648	0.0776266976	0.1520019776	0.0413571744	0.1184329686	0.1047938828	0.2161105232	0.199095644
a41	0.1312528308	0.1184076782	0.136015341	0.0584526982	0.0996028374	0.118615923	0.186157146	0.1514955462
a20	0.1088240632	0.0862722402	0.151011586	0.0540620308	0.1133245132	0.102742664	0.206146728	0.1776161416
a31	0.136975016	0.0995665346	0.143864936	0.0594533632	0.103864002	0.1057585958	0.1692528596	0.1812647032
a20	0.1621575054	0.1235355776	0.1303066114	0.0697318346	0.089147824	0.1074298768	0.1677401572	0.1499506312
a31	0.151487391	0.128624005	0.10908787	0.0638975156	0.085811244	0.1171699426	0.1732589748	0.170663042
a13	0.1619530312	0.132113535	0.1116441796	0.083398164	0.0821958898	0.09502466	0.1306215994	0.2030489372
a24	0.147923112	0.1141302812	0.0969347434	0.0768882106	0.0764152456	0.1052684458	0.184197148	0.1982428092
a18	0.1239299442	0.1166571294	0.1058716348	0.0855267544	0.0857741794	0.157634354	0.163913492	0.160692522
a31	0.1233302926	0.1053327406	0.1233722276	0.0891702228	0.098820576	0.145850744	0.168803828	0.145319358
a8	0.1144187604	0.116640216	0.13719968108	0.113838069	0.07732961628	0.082956037	0.172279642	0.185337991
a31	0.12613109146	0.116760205	0.1149949906	0.1068229952	0.086169082	0.156490326	0.1340122588	0.158619048
a8	0.1091402816	0.1191109456	0.12849212354	0.102539021	0.075572855	0.0893192782	0.172209922	0.203615598
a31	0.1154831808	0.1155092378	0.116321752	0.1165754524	0.082267923	0.124115391	0.159305918	0.1704211442
</S>	0.1075166572	0.1173271276	0.1294463972	0.1055681364	0.0756789037	0.090673703	0.1709282412	0.2028608412
