 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
a8	0.091503143	0.0792445358	0.0590688604	0.0662477982	0.0622856994	0.0939936724	0.1072864456	0.107930691	0.14519377	0.1872453842
a31	0.162386156	0.0992880488	0.06626359768	0.1021422844	0.0755367294	0.095836867	0.081249678	0.1035097888	0.1299268116	0.0838600304
a3	0.160251896	0.1163825632	0.07579092246	0.118856689	0.08201353	0.0932728454	0.0777561384	0.080432694	0.111927837	0.0833148698
a20	0.168670824	0.1629431032	0.0886107834	0.095583587	0.0588370424	0.0995219334	0.074061057	0.0896408978	0.1006001576	0.0615306178
a31	0.12805691	0.143835529	0.14451363934	0.14018099	0.0713015776	0.1015361608	0.06540962966	0.0695625243	0.076587865	0.0590151855
a24	0.1552820128	0.16980132	0.10068585232	0.1067406084	0.076539846	0.0980131206	0.06155154598	0.0793363924	0.089728019	0.0623212636
a31	0.1053907428	0.135097424	0.0740309784	0.092773927	0.0710965346	0.1056539524	0.07342976924	0.0784264333	0.131547772	0.1325524612
a17	0.149614413	0.140360448	0.06307123794	0.105182983	0.0710159238	0.1155489376	0.07275752832	0.0763061414	0.1126526852	0.0934897242
a31	0.134985786	0.1150814692	0.0465130986	0.0907893518	0.0621717887	0.0948710882	0.0558172281	0.0649367662	0.150532292	0.1843011512
a17	0.152604825	0.130742994	0.0643567132	0.1129979368	0.06566550834	0.1004298056	0.0575423848	0.0781018768	0.1248036842	0.1127542594
a20	0.1389344928	0.0984998476	0.04208994212	0.091778368	0.06726952916	0.0844370284	0.05107632872	0.0637201696	0.160420675	0.2017736055
a41	0.1428974054	0.099348246	0.0447784696	0.0752822806	0.07149872058	0.083318837	0.04768509008	0.0723118176	0.1805387348	0.1823403896
a31	0.1256645094	0.1016311476	0.0458039654	0.0672002214	0.0729040046	0.0840075116	0.04345880434	0.0743916912	0.1729779412	0.211960202
a17	0.151219392	0.1163019096	0.0512099958	0.0900280408	0.06878486406	0.0886858708	0.0567709004	0.082404826	0.1488787776	0.145715424
a31	0.1302180626	0.1073713918	0.0536164276	0.0796347188	0.0722155311	0.0815783924	0.053099095	0.0779091814	0.178517604	0.165839602
a24	0.1327669692	0.092116922	0.0501035398	0.0729614634	0.06830690166	0.0742325884	0.0612159524	0.097812113	0.1754854244	0.174998132
a31	0.117165032	0.098076831	0.054899224	0.0818558214	0.0720382665	0.0779003432	0.0598160832	0.1082224488	0.1820222992	0.1480036648
a32	0.1194517088	0.0818861966	0.0559132928	0.0704992202	0.0703138918	0.0643759228	0.0663154136	0.1007569496	0.187636982	0.182850399
a31	0.1261724694	0.1030285208	0.059438844	0.0740841098	0.076884593	0.0696431966	0.0734820374	0.0827901254	0.1903964528	0.1440796684
a20	0.107203239	0.083976299	0.066796779	0.0767190924	0.071767945	0.0699579404	0.073285842	0.0903361306	0.1838453696	0.176111368
a31	0.1159463386	0.0906799406	0.0710112622	0.0792571746	0.0802511648	0.0843976146	0.088557348	0.083941455	0.179384522	0.1265731786
a46	0.1070600184	0.0921475552	0.0866340054	0.0848775364	0.0745257978	0.0721210288	0.0938986382	0.091922396	0.14166798	0.155145088
a33	0.09226474312	0.0752949608	0.0659721444	0.0666030238	0.076083949	0.108649066	0.1152898014	0.1017385632	0.1726207208	0.1254830402
</S>	0.0774397442	0.0716154886	0.0687400206	0.0682383138	0.086244932	0.099260882	0.1261741948	0.121728366	0.148651714	0.131906374
