 	l	ho	sentito	che	viene	</S>
a34	0.188401876	0.173094066	0.129678532	0.116386366	0.2632965974	0.1291425754
a46	0.2385338828	0.1004358732	0.10801885792	0.1037691864	0.213050536	0.236191648
a41	0.2492447114	0.18217419	0.1170817328	0.130355036	0.1637773816	0.15736694774
a19	0.215719342	0.115594934	0.1146049006	0.1142420662	0.290248492	0.1495902728
a31	0.2148214172	0.1104725392	0.104183397	0.126089121	0.268884481	0.1755490128
a20	0.221318987	0.0998106508	0.1125036686	0.1140758064	0.263924162	0.1883667228
a31	0.1289739658	0.0788851174	0.0989821222	0.1304185644	0.270027731	0.2927125036
a24	0.114741766	0.0818977708	0.1201543818	0.146577652	0.303011782	0.2336166632
a31	0.0848385812	0.09210447806	0.0992129552	0.114479162	0.318588608	0.290776214
a23	0.0860387708	0.0720622558	0.1034243078	0.144527241	0.326509964	0.267437426
a20	0.0963487312	0.0832580986	0.1126878354	0.216420654	0.30603908	0.185245584
</S>	0.1004718714	0.0932685844	0.1146837904	0.134400011	0.286275756	0.27089999
