 	il	ladro	è	entrato	da	qui	</S>
a31	0.1995869	0.165056408	0.140077342	0.0903131788	0.119131672	0.169193767	0.1166407464
a17	0.1628945	0.2259567292	0.118491668	0.09277095666	0.144441003	0.10064949512	0.154795692
a37	0.183254268	0.2258218782	0.2171972784	0.08387535228	0.090023285	0.1157083308	0.0841195876
a35	0.218868886	0.2322846554	0.18007241	0.0853186008	0.0899974334	0.110153838	0.083304174
a18	0.1806348374	0.2299622188	0.1119316924	0.0656823058	0.140302974	0.1322371806	0.1392487814
a31	0.1969773384	0.2351061652	0.0909887692	0.1328511738	0.11966299	0.075560236	0.1488533228
a24	0.1751410042	0.2982345096	0.0894691616	0.0684116376	0.14230379	0.0883661284	0.1380737628
a31	0.1723328834	0.2707094096	0.101151431	0.0554479668	0.1494480632	0.1025025956	0.1484076176
a16	0.130168026	0.331881444	0.101417827	0.0715890074	0.0907925346	0.08585458798	0.1882965504
a31	0.118723338	0.2849321352	0.0931624448	0.0481495794	0.117026253	0.1316920836	0.2063141218
a46	0.1430853192	0.3261332048	0.0808101592	0.1022624922	0.0869747224	0.0833680304	0.1773660878
a31	0.1059689694	0.2499400924	0.0701166944	0.062672406	0.1397145628	0.1372278964	0.2343593714
a46	0.148452478	0.259882131	0.0697780198	0.1236054458	0.100078672	0.097273044	0.2009301966
a31	0.142180181	0.16610637092	0.08294965654	0.087817524	0.1298577372	0.1761615	0.21492702
a35	0.1669423446	0.1580712312	0.0821601826	0.142737413	0.109421951	0.138739772	0.201927092
a31	0.1710080894	0.13930247866	0.0932975126	0.1174941512	0.1191909852	0.168369965	0.191336827
a8	0.1613959312	0.1077616574	0.09197291	0.163530196	0.115987732	0.147098198	0.212253347
a31	0.15407289056	0.12864619472	0.10070308288	0.130819692	0.1290354048	0.17943127	0.177291476
</S>	0.145419349	0.09350844538	0.0984826378	0.1801339432	0.118926333	0.161408644	0.2021206678
