 	era	molto	stanco	</S>
a46	0.317608764	0.228306434	0.252079604	0.2020052072
a8	0.1494399944	0.1660127146	0.37853771	0.3060095684
a37	0.1693382488	0.223539428	0.391660206	0.2154621006
a31	0.219681154	0.25495252	0.343299322	0.1820670014
a0	0.2655931728	0.192084564	0.309594216	0.2327280576
a20	0.1846092942	0.203569298	0.353145218	0.2586761824
a31	0.1891639468	0.250201718	0.362509464	0.1981248668
a39	0.184053084	0.17554642	0.3279588306	0.3124416532
a41	0.1556996668	0.186618572	0.350524728	0.307156981
a31	0.1637176684	0.21455777	0.325693688	0.2960308608
a28	0.154532616	0.1886451484	0.331629614	0.325192612
a11	0.1403267584	0.167447139	0.282649556	0.409576558
a20	0.1447472786	0.182614764	0.280826786	0.39181117
a31	0.154685359	0.2021876	0.262752351	0.380374696
a11	0.189093712	0.2152731236	0.2382142024	0.35741899
</S>	0.171435315	0.1868320354	0.2360384576	0.405694222
