 	non	li	aspettiamo	più	</S>
a3	0.1814812972	0.21594704	0.14268958	0.258139608	0.201742454
a31	0.301792004	0.2131844192	0.0583979534	0.3058127386	0.1208128812
a35	0.331637316	0.16820862752	0.0915519738	0.3333834074	0.0752187046
a31	0.33875295	0.153282831	0.05764492788	0.3508906716	0.0994286138
a13	0.3167689176	0.1172210432	0.1221695056	0.360149594	0.0836910028
a31	0.2725285168	0.1326476868	0.0762177358	0.399361399	0.1192447016
a15	0.2813385774	0.1260451432	0.0769639256	0.3444179554	0.1712344172
a31	0.2365045392	0.1344383214	0.0844273702	0.37375602	0.1708737434
a46	0.2531512376	0.1106727594	0.0899751598	0.370759912	0.1754409224
</S>	0.2325414836	0.102055748	0.0981512552	0.343561567	0.2236899128
