 	ha	che	sono	usciti	</S>
a31	0.2119719594	0.225896098	0.130361792	0.218232998	0.213537162
a13	0.423187618	0.287660062	0.0830456176	0.0819426642	0.1241640474
a8	0.437302066	0.227360002	0.1038723622	0.1024558544	0.129009739
a24	0.514678636	0.2008990828	0.0816547758	0.098062891	0.1047045984
a31	0.451644386	0.22925345	0.0998055136	0.106616074	0.1126805992
a0	0.282333946	0.179440122	0.108608266	0.21132993	0.218287746
a31	0.309953904	0.1828726668	0.100150429	0.2362791272	0.1707438712
a8	0.243755304	0.165592106	0.1506857276	0.203266876	0.236699988
a23	0.2110352172	0.1763493108	0.1612002608	0.228950814	0.222464388
a8	0.207121648	0.1771961834	0.1770463172	0.239803032	0.198832808
a23	0.186024484	0.173861011	0.1525581672	0.254098424	0.233457915
</S>	0.164089196	0.18962712	0.1826444988	0.243944052	0.219695166
