 	non	ho	cosa	a	fare	</S>
a8	0.16443189	0.1661313972	0.171407144	0.2063852348	0.156803918	0.1348404268
a31	0.294081348	0.201724204	0.1221791302	0.1287471872	0.136575332	0.1166928072
a37	0.268927656	0.194080756	0.116846599	0.1653268588	0.15502266	0.099795439
a10	0.21804183	0.19568494	0.1852488412	0.163183568	0.141415668	0.0964251656
a37	0.202077935	0.1636982216	0.126602502	0.192216229	0.171386657	0.1440184412
a10	0.195216634	0.1651071426	0.129805677	0.2183660772	0.161401976	0.1301024996
a0	0.1544559628	0.1307675988	0.095080438	0.238601756	0.19670149	0.1843927538
a20	0.131953284	0.1224922242	0.101128462	0.240497518	0.200658002	0.203270492
a17	0.1299852408	0.1119282748	0.093447855	0.218218042	0.212942071	0.233478516
a20	0.1225463586	0.1237372962	0.129415553	0.1828533354	0.2119186748	0.229528766
a8	0.13111523332	0.1290078144	0.14920435	0.1639692324	0.23970351	0.186999836
</S>	0.1179896636	0.1236229902	0.141091282	0.190806254	0.194748728	0.231741108
