 	devo	pulire	l	albero	</S>
a39	0.178882078	0.180511656	0.183730232	0.2191926888	0.23768336
a31	0.1930903392	0.146459348	0.17924328	0.29413031	0.187076714
a35	0.282678082	0.1337767482	0.12408766	0.345945926	0.1135115668
a31	0.207930272	0.152340747	0.176468048	0.316393218	0.146867712
a20	0.2069055056	0.1429579088	0.156147972	0.405096728	0.088891873
a31	0.1740162782	0.1585885292	0.194396987	0.351336676	0.1216615404
a37	0.158938314	0.1041604978	0.1810988072	0.445476192	0.1103261896
a1	0.1374305972	0.0734413804	0.1536140108	0.450557464	0.184956544
a20	0.114499991	0.0634371034	0.126331822	0.472629598	0.2231015164
a31	0.1428459498	0.0624454036	0.1197835546	0.475492058	0.1994330808
a39	0.1198767468	0.0575257992	0.1392531066	0.46271774	0.2206265766
a10	0.1110806244	0.0537105098	0.0901651716	0.503372008	0.2416717268
a29	0.1581385518	0.0610685094	0.110624056	0.473016082	0.1971527898
a46	0.1382526936	0.0618040728	0.096575098	0.47464167	0.228726466
a31	0.16206748	0.0807279486	0.107107399	0.407576782	0.242520371
a20	0.1964834068	0.0945813268	0.124748397	0.3378629432	0.246323918
a13	0.1531662322	0.0936060532	0.1215762046	0.345186462	0.286465062
a20	0.1646455432	0.107340403	0.147860995	0.316226758	0.263926277
a31	0.155316375	0.111649804	0.202522815	0.317959124	0.212551872
a11	0.21034923104	0.1086656288	0.122858489	0.259368416	0.298758258
a17	0.1734776743	0.1161549426	0.1332151458	0.30063246	0.276519766
a20	0.17618985304	0.1440169016	0.1693345892	0.281053474	0.22940517
</S>	0.17565613066	0.137316032	0.181725742	0.275310708	0.229991386
