 	non	sono	ancora	vestita	</S>
a31	0.245156468	0.1305409034	0.231857241	0.205091768	0.187353596
a23	0.258999886	0.1114805808	0.2259734812	0.27065518	0.1328908894
a31	0.429994422	0.0835594358	0.2312221372	0.169678746	0.0855452432
a7	0.479977438	0.1294691579	0.1922497948	0.1379551756	0.0603483912
a31	0.447844744	0.1362260834	0.1788627644	0.1532694458	0.0837969346
a13	0.517638266	0.1072061484	0.187959084	0.1253143068	0.0618821986
a31	0.374003128	0.115181115	0.1824528904	0.2059601808	0.1224027008
a37	0.3278192668	0.082421466	0.184229574	0.24979256	0.155737128
a18	0.25484952	0.112413653	0.1880799988	0.2142788834	0.2303779368
a31	0.212969732	0.137352248	0.160381678	0.241845572	0.247450764
a46	0.1828876012	0.168944548	0.18557809	0.206097781	0.256491998
a8	0.1536702038	0.1513311518	0.1588061608	0.200394792	0.335797722
</S>	0.157150019	0.1476121644	0.1577746356	0.21513701	0.322326158
