 	non	mi	aspetti	non	vengo	</S>
a33	0.181559352	0.212867722	0.173113362	0.16582729	0.124336768	0.1422955136
a31	0.214765856	0.2955557112	0.134927438	0.18408917	0.0987688358	0.0718930094
a37	0.271750138	0.286091888	0.1515935886	0.159241176	0.0711670806	0.0601561312
a35	0.238503162	0.33257289	0.1424898602	0.15845444	0.078585806	0.0493938249
a31	0.2513111	0.327157504	0.1285926944	0.1431532108	0.0778078858	0.07197762372
a7	0.2620824908	0.331151088	0.1128684904	0.1245518704	0.1151851968	0.054160874
a18	0.17672365006	0.203083046	0.180450757	0.175612977	0.1338089886	0.1303205958
a24	0.17661849828	0.1506323774	0.2362862962	0.153315448	0.1505482592	0.1325991208
a31	0.1576953346	0.12601179	0.1709773816	0.177997878	0.173444914	0.193872712
a20	0.1318905992	0.1186293472	0.165085032	0.203725119	0.157150645	0.223519246
a8	0.1214403862	0.112673412	0.176572165	0.184347794	0.193317863	0.211648376
a31	0.10378102246	0.09900909248	0.1493186564	0.161870782	0.260319626	0.2257007972
</S>	0.1201706646	0.1078115452	0.1552210236	0.17617441	0.18382828	0.2567940932
