 	viene	fabbricato	</S>
a31	0.471472236	0.31291825	0.215609502
a24	0.552701194	0.26541357	0.181885233
a31	0.756356706	0.181386171	0.0622571162
a18	0.778730516	0.1492375214	0.072031984
a31	0.76406258	0.16150919174	0.0744282452
a37	0.71947253	0.1915416416	0.0889858514
a31	0.65311242	0.2152647098	0.131622848
a20	0.567485474	0.2372903154	0.195224208
a41	0.46743843	0.221481016	0.31108055
a31	0.441843668	0.2863291088	0.271827234
a35	0.336729002	0.262855049	0.400415948
</S>	0.322898392	0.279414522	0.397687072
