 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
a20	0.1031670288	0.098407225	0.113267915	0.113339103	0.152116826	0.133785877	0.1448889978	0.1410270432
a0	0.0789456775	0.081055983	0.1351622712	0.1042904412	0.246554454	0.117501354	0.13603284	0.100457003
a28	0.1137195992	0.106825203	0.1855499908	0.162943393	0.1677331416	0.0946886038	0.102901042	0.0656390226
a31	0.1576785322	0.145162682	0.197592712	0.1554852752	0.120142279	0.0711517047	0.081512717	0.071274107
a24	0.16712007	0.142825094	0.203216774	0.150709618	0.0935432528	0.0645969472	0.0863638668	0.0916244112
a46	0.12726663872	0.1096522789	0.164772675	0.128799848	0.1540641572	0.097004569	0.108609704	0.1098301222
a31	0.1067314948	0.0880266118	0.140042012	0.1185069758	0.1911489004	0.1144219348	0.117481827	0.1236402558
a24	0.12864994	0.097782505	0.151358816	0.0937302656	0.2331866772	0.098683088	0.108245067	0.0883636392
a31	0.0987653609	0.08297975372	0.12782899	0.1208160132	0.1908139004	0.133039931	0.156310102	0.0894459038
a20	0.0911858688	0.0782309294	0.107461958	0.0755406678	0.282861767	0.114891656	0.1319208982	0.1179062678
a29	0.0688190376	0.06229328994	0.0936860396	0.0824178908	0.2932885848	0.110516936	0.20886387	0.0801143044
a20	0.062645432	0.05396083834	0.0945609554	0.0985992886	0.28172090406	0.0951020308	0.2254655232	0.087945026
a29	0.0625350742	0.0528685401	0.0866745426	0.0752223816	0.3108873748	0.0932049456	0.1884819836	0.1301251638
a13	0.0632747998	0.0521381028	0.0927633402	0.0949651342	0.284539469	0.0936594156	0.1648280474	0.1538316584
a17	0.0589952338	0.0515257795	0.0948505524	0.0978856236	0.2788580702	0.09327784	0.1596839718	0.164922934
a31	0.06383054068	0.0588983202	0.0879506548	0.0972821482	0.2929856392	0.1096569834	0.1668576864	0.122538054
a44	0.0737167179	0.06964891894	0.07829184306	0.0792645108	0.3019727144	0.1166828352	0.1617062998	0.118716192
a8	0.06884569662	0.0653037684	0.08336327106	0.0764607312	0.2560421298	0.1387039572	0.180724121	0.1305563302
a6	0.07211495868	0.0678312538	0.091301187	0.0782102143	0.1923435374	0.135938442	0.185037068	0.177223366
</S>	0.067199417	0.06579927128	0.08464406668	0.07485640214	0.191955336	0.118284838	0.166020805	0.231239858
