 	il	cibo	vuole	mangiato	appena	lo	cucini	</S>
a8	0.1158686548	0.1273592552	0.117424343	0.110491266	0.0847117664	0.133798476	0.133244501	0.1771016972
a31	0.0782209748	0.3081749404	0.212861884	0.0971869	0.0847493848	0.0979556774	0.0816695966	0.0391806326
a39	0.1181724888	0.269965628	0.2007875092	0.1220333964	0.099515969	0.0901732316	0.0624645666	0.0368872267
a21	0.1301154838	0.238779542	0.181596064	0.1621245972	0.1031481316	0.0810482794	0.0658457506	0.0373421608
a31	0.1376177696	0.228235672	0.170603852	0.156506668	0.121397136	0.0804659978	0.06098072	0.044192175
a37	0.176433418	0.244390472	0.145016342	0.135716562	0.1160097104	0.0900246432	0.0569591638	0.03544969512
a31	0.1399418134	0.184384082	0.1323516782	0.18161199	0.132141114	0.1038805408	0.0755745558	0.05011421966
a41	0.135480614	0.261845208	0.136404202	0.181642946	0.0826580703	0.0860173748	0.0564481368	0.05950344814
a10	0.100020834	0.227869386	0.11532728	0.144645089	0.105624873	0.1324436086	0.07603443608	0.09803447494
a31	0.107263411	0.2330868608	0.12789447	0.1706614212	0.1084492704	0.1125881176	0.074833033	0.06522340962
a46	0.1152528089	0.316544792	0.117144924	0.135126988	0.08840638394	0.0838893666	0.06601613266	0.07761860994
a20	0.0722642559	0.295104912	0.091084575	0.1114912988	0.1117494472	0.1138888454	0.07917534232	0.1252413039
a13	0.0751475894	0.2824353608	0.0895167292	0.142650045	0.1113210352	0.1220556486	0.078426703	0.0984468896
a31	0.0844982464	0.242555229	0.0811881344	0.1115276024	0.094898412	0.176797488	0.1121707424	0.0963641378
a39	0.0955256692	0.3719067192	0.090071302	0.0639070248	0.0867231044	0.0855862892	0.0728383176	0.1334415804
a16	0.0621201482	0.280475368	0.0818129366	0.1003948676	0.0940918538	0.145410386	0.098502049	0.1371923926
a13	0.0705422722	0.246502846	0.0786270554	0.0779394906	0.1031974086	0.137412534	0.146722997	0.1390553892
a31	0.0823585546	0.2291074312	0.0894536316	0.0750077292	0.1054280146	0.1239444524	0.1659311478	0.128769052
a37	0.09405019552	0.226211454	0.0968227204	0.0763849002	0.1318311176	0.0948982718	0.135278394	0.144522956
a31	0.0846774324	0.155616514	0.1267888168	0.0896382082	0.1007487746	0.12401054	0.178359954	0.140159774
a8	0.10159027686	0.1151405032	0.086609965	0.0773496634	0.1612410418	0.099358667	0.16462323	0.1940866562
</S>	0.0831771562	0.106094688	0.0823671206	0.0839250062	0.128460588	0.139412258	0.209909888	0.1666532888
