 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
a23	0.1195181502	0.097101458	0.1015818368	0.1156050512	0.1607634008	0.142178466	0.132053732	0.1311979168
a31	0.214684858	0.1070946368	0.120694499	0.1018454512	0.1014728752	0.1134262612	0.137645452	0.1031359692
a29	0.246706594	0.1505024352	0.13028677	0.0942385968	0.1011773874	0.0897973834	0.1180277396	0.0692631124
a46	0.1886897972	0.142656598	0.132133671	0.1567939348	0.1281650764	0.098946058	0.0919203424	0.0606945286
a11	0.187213266	0.132169692	0.123605827	0.1451862172	0.1116640602	0.0959251278	0.106200966	0.0980348092
a20	0.162815306	0.1234292098	0.1438291114	0.16782044	0.118249269	0.0990063742	0.0942647156	0.090585594
a8	0.1414646032	0.1123051652	0.105974241	0.137671081	0.131779736	0.125438805	0.103235852	0.1421305084
a31	0.14894153	0.0755460334	0.0831153272	0.1184616234	0.1249540492	0.1107867888	0.1284602358	0.2097344276
a38	0.2031000836	0.0927866252	0.0915645028	0.0919782632	0.156220014	0.108913502	0.130955338	0.124481661
a31	0.178596582	0.0820113942	0.0871973766	0.096661393	0.140643646	0.11653318	0.156918636	0.1414377974
a24	0.232632366	0.0694799868	0.0923348018	0.0678914906	0.152806124	0.1013523732	0.182582204	0.1009206586
a37	0.186009122	0.064911563	0.0885386948	0.082787406	0.1133755926	0.1008085886	0.225776231	0.1377928182
a15	0.1972542688	0.058814131	0.0889918152	0.0745380356	0.1126964112	0.0987093088	0.18387227	0.185123777
a31	0.1789424011	0.0557722956	0.0989558956	0.0836431606	0.1015404652	0.1159919904	0.1692545828	0.1958991814
a20	0.197477781	0.0634965932	0.1080797692	0.063852583	0.1481335244	0.101825965	0.158239272	0.1588945132
a31	0.2084687948	0.0622524228	0.1030374038	0.068970458	0.1280253646	0.106114522	0.212736132	0.1103948786
a37	0.2025805216	0.060326737	0.092767477	0.0436084694	0.1496469006	0.1164546352	0.155649322	0.1789659398
a46	0.2146449252	0.0685127408	0.10527803	0.0542156822	0.1136495684	0.115409184	0.2034145712	0.1248753186
a20	0.153307212	0.080108032	0.1346315852	0.0768340564	0.1098768824	0.1210232756	0.2196284628	0.1045904808
a24	0.1786219558	0.061697434	0.0872743586	0.0549194077	0.13728543	0.133109975	0.2031699312	0.1439215288
a31	0.15481073746	0.0733517291	0.1118736324	0.0665161272	0.1328079792	0.1367737194	0.190548992	0.1333170652
a17	0.181283452	0.0622605246	0.0827569102	0.0594392686	0.131474317	0.156925944	0.185292052	0.1405675378
a20	0.1215242912	0.0887661808	0.091146517	0.0792236696	0.1262646348	0.162619826	0.174170208	0.156284682
a38	0.102244884	0.0880845266	0.0996391504	0.101342333	0.1312874064	0.16560938	0.1809069638	0.1308853552
a31	0.120708728	0.0934870974	0.100661111	0.0909339434	0.1312958108	0.1503230004	0.179706749	0.132883542
a17	0.1060672428	0.09367346996	0.0951072282	0.0952365892	0.1167958714	0.169427292	0.1779732552	0.145719037
a31	0.1052555922	0.0959421448	0.095413851	0.09720188	0.127868336	0.185527078	0.145387438	0.147403708
a37	0.0975666794	0.10136167586	0.101872609	0.1090493226	0.1036559688	0.158552965	0.1735572588	0.1543835062
</S>	0.0951329068	0.1141276222	0.117783589	0.1165830014	0.0963962012	0.172547005	0.13120234	0.15622738
