 	puoi	non	parlare	di	questo	con	Anna	</S>
a31	0.1220790914	0.1281178118	0.138834582	0.15130383	0.12174536	0.1055492566	0.1109423254	0.1214277438
a20	0.1281518958	0.1047382792	0.130399747	0.132548308	0.1967927528	0.1287821122	0.12176722	0.056819721
a11	0.158943971	0.1376583576	0.16980747	0.1184024248	0.199584232	0.0959745964	0.0755140316	0.0441149244
a10	0.0965294702	0.10777975	0.169459034	0.143591822	0.204878344	0.1036740788	0.108517734	0.0655697554
a39	0.0665668682	0.0749893834	0.15745547	0.188531578	0.19150833	0.110860512	0.1512303268	0.0588575428
a7	0.0618592024	0.0780255072	0.15035157	0.158627572	0.22531132	0.1034717134	0.1673866112	0.0549664778
a37	0.0385795966	0.0497431602	0.1487494608	0.174230815	0.235228992	0.1091641523	0.173450746	0.0708530684
a8	0.0482296196	0.0485766772	0.164018114	0.17138924	0.2325175234	0.1226065161	0.1545595698	0.058102749
a18	0.0740124016	0.0777321378	0.2212685208	0.128965406	0.2492937254	0.097151075	0.0870030284	0.0645737458
a46	0.1076151222	0.0893104012	0.2014490596	0.1087828026	0.252171547	0.1016026694	0.0952271736	0.0438412168
a31	0.05174101732	0.05205974	0.2039459926	0.102243924	0.24848217	0.0964704104	0.121983986	0.1230727746
a18	0.1125120526	0.09108587546	0.1543012846	0.098823871	0.2409011343	0.089359429	0.1445827848	0.0684336088
a24	0.040573476	0.0369202202	0.1411412464	0.1023660686	0.2460113314	0.121831739	0.173930454	0.1372254916
a28	0.0379093984	0.0330039606	0.1057812366	0.0881749666	0.2484289514	0.116147484	0.176905492	0.193648509
a31	0.0544593526	0.0482352536	0.104678283	0.11361509	0.1988082028	0.118777768	0.1896841488	0.1717418956
a20	0.1073888798	0.0796486928	0.121504216	0.124386514	0.156553683	0.110629328	0.16008399	0.139804676
a31	0.0803743268	0.0698549998	0.0912926102	0.0928149712	0.164277596	0.130954266	0.183936003	0.1864952124
a3	0.118018165	0.0847664846	0.096986603	0.1247961474	0.1233677406	0.1132566492	0.1531219072	0.1856863354
a31	0.1077192772	0.099002993	0.113531332	0.1025907418	0.1239730184	0.1242568748	0.159815194	0.169110588
a20	0.121839579	0.0950218408	0.0943784072	0.1308490352	0.1131254336	0.11866203	0.158481948	0.167641746
a31	0.128841118	0.1178846628	0.10371158	0.1028649118	0.1114296852	0.1173232404	0.1479945748	0.169950216
</S>	0.1282045456	0.1043711354	0.0972523398	0.122542773	0.1120475264	0.1121819748	0.153850992	0.1695487256
