 	deve	che	entra	da	qui	</S>
a31	0.157295416	0.218172572	0.1328289532	0.17127508	0.146461976	0.173966032
a21	0.094053885	0.320514106	0.1435022219	0.1360038474	0.116465119	0.1894608532
a31	0.132809411	0.298867142	0.1129427738	0.1315334452	0.1475267352	0.1763204948
a20	0.103768564	0.3669107268	0.1176849724	0.1475849308	0.15837983526	0.1056709772
a11	0.086013019	0.387906532	0.1089227828	0.111876356	0.1631907464	0.1420905822
a31	0.0736078062	0.301213524	0.1003649836	0.1316462716	0.191611831	0.2015555854
a37	0.0815330564	0.2891043038	0.1152216086	0.106661452	0.175546808	0.2319328246
a31	0.101260338	0.242667762	0.13759419	0.1668471524	0.156156047	0.195474516
a8	0.0950791386	0.1504421298	0.1092060386	0.128890182	0.2126650406	0.303717448
a31	0.0962323932	0.1437211668	0.1308940392	0.170407432	0.220390182	0.238354794
a46	0.1116293399	0.1341338128	0.123294016	0.1374981584	0.188883288	0.304561384
a31	0.09958712636	0.1314292704	0.126757072	0.151130192	0.226272816	0.264823506
</S>	0.1253287953	0.11973669264	0.1487337301	0.1356501374	0.190001742	0.280548884
