 	volevo	trovare	un	forno	che	fa	un	rustico	buono	</S>
a20	0.118296604	0.1005836264	0.098391892	0.0951237958	0.0896108442	0.0934965712	0.0869556124	0.1252005476	0.08865054	0.1036899564
a31	0.194804598	0.1230528408	0.084134318	0.1123798956	0.0825972174	0.1047749832	0.0936014682	0.1291393912	0.03503736164	0.04047794216
a37	0.2290931556	0.1174482098	0.1234128328	0.101865941	0.0753515758	0.101826625	0.078324941	0.1141806156	0.02340521474	0.0350909244
a21	0.165927328	0.119942537	0.1331510312	0.163604624	0.1108872608	0.101946561	0.0755190294	0.0755332612	0.02655443044	0.02693392526
a31	0.13740228	0.115788686	0.134745208	0.162804374	0.107842817	0.094885305	0.067710379	0.0690643462	0.05264357312	0.0571129821
a7	0.189610468	0.0894739342	0.143561289	0.13328999	0.1156302688	0.0981514892	0.0628569042	0.0914887974	0.033902977	0.04203390108
a29	0.127716787	0.0792090112	0.0916955676	0.144046808	0.116195058	0.1012842312	0.0791093054	0.1205572914	0.0726760246	0.06750989526
a31	0.1276162796	0.0883103184	0.0952760354	0.132814554	0.109495651	0.1241016532	0.1000536216	0.0845757144	0.07975770736	0.0579984193
a29	0.16354745	0.0710514406	0.0900706994	0.0957838982	0.095328655	0.1611134758	0.1164354554	0.0771874088	0.03438836368	0.09509319846
a31	0.1471535412	0.072262224	0.1092341616	0.111497759	0.0975974566	0.12233365	0.1121085768	0.1122201214	0.0413974983	0.0741950019
a41	0.173354914	0.07186489756	0.090163777	0.1018841368	0.0734498556	0.1364747112	0.1314136086	0.0957807054	0.02545992992	0.10015348026
a18	0.1717692836	0.06350969744	0.081252021	0.1104062968	0.0775810948	0.1195041908	0.1527262344	0.0995808736	0.02340995102	0.10026035994
a31	0.1689448822	0.06205553292	0.0837870124	0.108672928	0.081046331	0.1198092558	0.1558406336	0.1076010084	0.02761692752	0.0846255084
a37	0.1917796238	0.0751699498	0.0799078672	0.0868534156	0.0634608606	0.0970800772	0.1941617556	0.0954148562	0.0316569347	0.0845146394
a3	0.1834718974	0.0570941326	0.0706786694	0.09647496	0.0730499198	0.1105793422	0.179075156	0.0917602986	0.0224555373	0.11536010266
a21	0.1993470706	0.0546672527	0.0776770372	0.0927301444	0.082181647	0.0990293372	0.1724977836	0.108508754	0.0320578634	0.08130311094
a31	0.20367414	0.0696885948	0.0747088182	0.0995395048	0.070406188	0.0945082996	0.157000814	0.1333006536	0.0368449132	0.060328087
a37	0.215500402	0.066957188	0.068770082	0.074642285	0.0607956172	0.087916824	0.1393396202	0.1028422522	0.0639565074	0.11927923
a31	0.196399555	0.0670464304	0.062382792	0.08384348	0.0566002594	0.1018238176	0.1376984446	0.100603388	0.0564239876	0.1371778374
a28	0.188847752	0.076512544	0.0804386674	0.0626928756	0.0596994492	0.0773786966	0.0709730514	0.1271000584	0.118990019	0.1373668952
a31	0.150865601	0.082997517	0.0740599476	0.0774522688	0.0685234694	0.0792845986	0.0843213708	0.124266825	0.136706152	0.121522267
a8	0.12884256	0.0783945128	0.078743839	0.0694428972	0.068907013	0.0737363332	0.068452671	0.1066936214	0.1552791356	0.1715074114
a31	0.1030836024	0.0882468772	0.075163086	0.0729230936	0.0709476104	0.0750700591	0.0762764152	0.1136110184	0.1847145732	0.1399636868
</S>	0.0956833634	0.082941073	0.0867526326	0.0733716444	0.0752400482	0.0778295794	0.0754259594	0.1002628678	0.165709974	0.1667828472
