 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
a33	0.095771244	0.108232264	0.0847130918	0.1131894614	0.1182765768	0.128723758	0.110018995	0.1268096532	0.1142649716
a31	0.1629511568	0.153844928	0.1178106554	0.03315369852	0.1146410892	0.1020667646	0.0848885182	0.1519399328	0.0787032452
a37	0.159755564	0.16844908	0.1161021376	0.0532424452	0.113629823	0.119641913	0.090602407	0.131542253	0.0470344106
a20	0.142996858	0.156693241	0.1334756434	0.0601946586	0.115955374	0.128863104	0.0850172002	0.12131075	0.0554931502
a28	0.164085278	0.126204954	0.1104146924	0.06427381348	0.139224148	0.1302006996	0.0763675932	0.123379513	0.0658492998
a37	0.1604423442	0.1066180598	0.0835370126	0.05914581496	0.145111252	0.140553815	0.076764006	0.1638042266	0.0640234364
a18	0.148159486	0.112769938	0.0809941996	0.0590355869	0.14280364	0.152736406	0.1010256974	0.145676264	0.0567987758
a31	0.137622106	0.120029226	0.0721604834	0.05795652376	0.144580573	0.156740892	0.1091132754	0.1355769516	0.0662200212
a0	0.137327758	0.1223392078	0.0763389598	0.0721172168	0.1226212628	0.141812014	0.1113435164	0.162819663	0.0532804288
a13	0.103303064	0.099989294	0.0400242642	0.04875398928	0.15043151	0.163736438	0.1137786216	0.1718914744	0.1080913254
a31	0.0991859088	0.1192393302	0.0449848814	0.0527416483	0.1451563884	0.142535147	0.103508606	0.1885239354	0.1041241268
a41	0.0886562276	0.165453896	0.0525867864	0.049189332654	0.1250271412	0.109025456	0.0878818292	0.2385354382	0.0836438894
a24	0.06961101212	0.121353096	0.0370299114	0.04127213473	0.161062716	0.1315007336	0.1035022314	0.234595482	0.100072729
a37	0.05651480194	0.1050057102	0.0403602194	0.0457338783	0.152463265	0.1411049428	0.1056103516	0.226656102	0.1265507238
a31	0.0498064472	0.090070678	0.04427119634	0.06141158948	0.141224656	0.172710718	0.1226249768	0.1887134898	0.1291662642
a28	0.04739416352	0.185371634	0.0531505384	0.06530160296	0.10691449	0.1646789914	0.108158706	0.1688592146	0.1001706624
a11	0.0436393564	0.1072166496	0.04834636066	0.05496661693	0.087325097	0.1858378492	0.11977816	0.187515448	0.1653744428
a39	0.041872447226	0.082633734	0.04892251128	0.0582423431	0.095666629	0.2267431508	0.111929774	0.1718982966	0.162091081
a46	0.0434980668	0.086527618	0.04956258472	0.0568916844	0.0965788496	0.2201974298	0.108449168	0.165703796	0.1725907768
a49	0.04611083806	0.0796356652	0.0543061535	0.05829308306	0.087422106	0.1948776536	0.1066503114	0.1606895614	0.2120146072
a31	0.04910800092	0.073540312	0.0603210498	0.07572902746	0.10707919	0.1703725038	0.1076944968	0.159232758	0.196922634
a33	0.072166947468	0.1123686016	0.08167444098	0.1014216018	0.0810433056	0.0932787474	0.0957051728	0.141574344	0.2207668252
</S>	0.06137913642	0.0803587596	0.0679805184	0.093794241	0.0868618064	0.113910885	0.1056456786	0.1315418682	0.258527096
