 	Valeria	legge	il	giornale	</S>
a31	0.18688492	0.239970052	0.193879064	0.210959462	0.1683064992
a39	0.239944842	0.235509782	0.181715434	0.247481456	0.0953484752
a8	0.279962292	0.18020617	0.176902381	0.24744303	0.1154860948
a31	0.324144544	0.176134993	0.13579818	0.260072398	0.1038498772
a11	0.2712018992	0.20583368	0.1194366068	0.291460914	0.1120668892
a13	0.216844352	0.296699364	0.1295746548	0.2636836	0.0931980064
a31	0.1769331672	0.223291438	0.1242808334	0.288693154	0.1868013706
a18	0.187644976	0.223174268	0.135850752	0.309614202	0.1437158292
a37	0.162252401	0.257243526	0.121104965	0.248752974	0.21064613
a11	0.1890238868	0.194343408	0.138703672	0.24749657	0.230432434
a41	0.1694802368	0.180510462	0.1503381638	0.255181908	0.244489226
a14	0.158561123	0.1804735812	0.155833302	0.23808009	0.267051908
a31	0.165588202	0.165123924	0.161841687	0.2367824652	0.270663728
a35	0.203230744	0.169455798	0.182741922	0.199657146	0.244914388
a31	0.183110878	0.1897003168	0.214225638	0.197935284	0.215027854
a41	0.2051225916	0.1576379738	0.164896018	0.207202973	0.26514041
a31	0.1689470622	0.1845188048	0.1714868986	0.212064024	0.2629832008
a35	0.2105258802	0.162663632	0.16102595	0.196762348	0.269022212
a31	0.16962124614	0.1828352074	0.18855893	0.227125792	0.231858831
a8	0.2092348932	0.165372384	0.159679964	0.213415556	0.252297206
a20	0.1684149975	0.1818822669	0.196138416	0.228584118	0.224980234
a31	0.16290713446	0.180216705	0.206575888	0.233538606	0.216761664
a37	0.20935409126	0.1650835032	0.163883636	0.2090710672	0.252607694
</S>	0.17410756116	0.1820700046	0.204954784	0.223440376	0.215427296
