 	Marika	è	che	si	sposa	domani	</S>
a27	0.1657587528	0.111412353	0.117566478	0.135295641	0.1238460528	0.112755774	0.233364928
a37	0.1428043561	0.0949117004	0.204675832	0.1729415566	0.1373368866	0.1098767138	0.1374529668
a31	0.209957356	0.222234001	0.208543256	0.1183525838	0.1036359386	0.057906206	0.0793706882
a11	0.296576632	0.1895377642	0.199427168	0.1229514606	0.09639994	0.042928094	0.0521789294
a31	0.2557818168	0.1693071806	0.16863919	0.1335042094	0.123668662	0.0617089143	0.0873899826
a37	0.320548078	0.1646747412	0.148433156	0.1173431658	0.1052448752	0.0530791408	0.090676838
a31	0.276744336	0.0807087586	0.1777045244	0.1115648252	0.133734331	0.0843895152	0.135153688
a6	0.281027408	0.1631549114	0.1538684528	0.101147382	0.0950802286	0.0940344166	0.111687222
a20	0.213705287	0.1116363856	0.097372746	0.0965976716	0.122803984	0.167929649	0.1899542874
a31	0.2609189272	0.0923542834	0.0952381182	0.0927306822	0.121782666	0.138169155	0.1988061548
a20	0.229013796	0.1782724092	0.093077862	0.0865038726	0.1134949216	0.141339104	0.15829804
a31	0.2028034976	0.148386126	0.101326238	0.0813209008	0.130141161	0.1431719572	0.192850128
a0	0.149981456	0.13029281	0.091716323	0.084184884	0.1267623996	0.164947234	0.252114876
a20	0.123023824	0.135497382	0.107156904	0.0882637476	0.1335592864	0.184364966	0.228133902
a31	0.12427741	0.158198316	0.096732832	0.0935456008	0.158563386	0.192368962	0.176313486
</S>	0.1189565722	0.1123558084	0.0881804072	0.088736271	0.139577147	0.16074952	0.291444258
