 	il	lenzuolo	vuole	lavato	</S>
a31	0.187532432	0.245447094	0.167815106	0.239607562	0.159597804
a7	0.218905241	0.198044046	0.15251544	0.275285294	0.1552500124
a31	0.3144474368	0.2140361748	0.141401674	0.2549809014	0.0751338298
a0	0.302442014	0.218681116	0.1203119776	0.3169150078	0.0416498568
a17	0.1700998984	0.2236312224	0.1148045126	0.4082893172	0.0831750572
a13	0.1715257132	0.2426270448	0.1197668422	0.3673254216	0.0987549654
a31	0.2019644932	0.2774012736	0.1063638752	0.3255610274	0.088709307
a17	0.1639595588	0.276271011	0.0598266624	0.406672793	0.093269952
a8	0.1280379818	0.256676447	0.0902706686	0.3698081914	0.155206685
a31	0.153644772	0.2160303168	0.1033092618	0.329493669	0.1975219648
a24	0.1802142308	0.1748998118	0.1318548232	0.3150385172	0.1979926288
a46	0.1171714504	0.2691998524	0.1208362467	0.2426483018	0.2501441208
a24	0.145095476	0.228921074	0.1302420506	0.276481978	0.219259437
a37	0.1389211436	0.22700787	0.1556212402	0.265385534	0.2130642012
a31	0.1511805344	0.174611862	0.166193922	0.283008752	0.2250049572
</S>	0.1961624188	0.154878463	0.1436963526	0.211917416	0.293345336
