 	è	che	è	entrato	da	qui	</S>
a31	0.1500797198	0.1790574192	0.1632941392	0.1450625134	0.1178490832	0.1407434426	0.1039136574
a7	0.1173884772	0.2661303382	0.1017595798	0.0863226276	0.15428347	0.1174965728	0.1566189473
a18	0.1147930332	0.289165239	0.2190445694	0.06722250534	0.10734202	0.1296900666	0.0727425568
a31	0.1119978656	0.306517594	0.1628497946	0.0676304182	0.107504282	0.1416692299	0.1018308084
a46	0.08783451	0.2164978244	0.206399114	0.06319612972	0.130113402	0.1823810644	0.1135779326
a31	0.0975336866	0.1717627592	0.177500999	0.0902545494	0.134368291	0.188351826	0.140227906
a39	0.1071005228	0.1532264468	0.123980929	0.130002766	0.141981472	0.156097402	0.18761048
a28	0.1045281094	0.13318696	0.1843998324	0.1035517556	0.1395391888	0.156484668	0.1783094792
a31	0.1330416128	0.1336445516	0.1144286504	0.1183551196	0.14704387	0.18887351	0.164612684
</S>	0.11641181006	0.10415390488	0.10723089174	0.1728415446	0.1121610052	0.130612708	0.256588116
