 	ho	cosa	a	fare	</S>
a23	0.22514592	0.1920655592	0.231540006	0.176123488	0.1751250308
a17	0.29266338	0.1563178712	0.16189481	0.19670189	0.1924220532
a31	0.341481656	0.216725104	0.1431850424	0.17517492	0.1234332924
a8	0.32923016	0.198617914	0.203418404	0.14734373	0.1213897634
a31	0.32466524	0.1555461198	0.1812285148	0.176499213	0.1620608964
a13	0.280285652	0.1540881962	0.203154	0.205870152	0.15660199
a24	0.249217824	0.1502732	0.1791881928	0.185611758	0.2357090148
a31	0.21372836	0.139789316	0.194259784	0.1923027	0.2599198254
a13	0.2062140312	0.140398492	0.1706313276	0.220251592	0.26250456
a31	0.196310152	0.140393471	0.167616623	0.202444438	0.293235324
a18	0.221289266	0.161219162	0.149527889	0.235943716	0.2320199588
a0	0.18244425936	0.1556699762	0.156420568	0.245565054	0.259900134
a39	0.1608225274	0.1654181363	0.1606468748	0.237410338	0.275702108
</S>	0.15601103344	0.1566704326	0.1675474306	0.240112918	0.2796581872
