 	che	non	li	aspetiamo	</S>
a20	0.221262748	0.221208496	0.210014508	0.2299780374	0.1175362008
a8	0.1620392948	0.1256711034	0.12637158098	0.406650336	0.179267688
a7	0.2261721528	0.1892815792	0.1281739972	0.339872406	0.116499847
a35	0.2569069	0.20080369	0.13825504638	0.336171902	0.0678624718
a46	0.223106778	0.183657964	0.1556296404	0.34348535	0.0941202714
a31	0.27597217	0.201907978	0.132587683	0.294780754	0.09475141266
a11	0.311358028	0.182500488	0.1552056264	0.25547941	0.09545642788
a31	0.251163302	0.193659222	0.1218623532	0.257862242	0.17545290126
a0	0.23215611	0.19974878	0.163400735	0.2707212988	0.1339730914
a31	0.195143342	0.174497938	0.1232552186	0.283774682	0.223328816
a30	0.198528892	0.177313256	0.1589110372	0.268013586	0.197233248
a0	0.1929940432	0.142815033	0.1144812724	0.266599132	0.283110528
a31	0.186717963	0.1450431448	0.1163574406	0.2573074192	0.294574086
</S>	0.179235661	0.155586858	0.1310834558	0.242025334	0.292068674
