 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a8	0.110558802	0.0967704518	0.0813303476	0.0855847188	0.088755173	0.150844523	0.200584535	0.1855714128
a31	0.1228179232	0.1058235686	0.0726702602	0.1130061508	0.1169116648	0.150044325	0.208604566	0.110121539
a8	0.1365584828	0.1215573664	0.0864158482	0.0935761348	0.0969833432	0.1664260626	0.191825398	0.1066573692
a31	0.1316488568	0.1073443522	0.1085548438	0.109830978	0.163197402	0.1426731032	0.1548122516	0.0819382328
a46	0.138368724	0.1530633572	0.1336758568	0.1333981504	0.125690676	0.1155930157	0.151064818	0.0491453772
a31	0.110129598	0.116943567	0.1027888166	0.131961884	0.1354398912	0.137611844	0.174273522	0.09085088
a20	0.113934054	0.1232851992	0.0797269624	0.092565563	0.0965166274	0.1481462482	0.2464780828	0.099347234
a31	0.0964785926	0.0816660184	0.0689674056	0.075452062	0.0646396702	0.1647890194	0.29105923	0.156947959
a13	0.104297494	0.0836462522	0.0817229972	0.1290932636	0.0670520822	0.1512196928	0.256177626	0.1267906234
a17	0.073974599	0.0539674362	0.0491403136	0.0635119346	0.0580496427	0.1898585892	0.3630334012	0.1484640786
a8	0.0632262361	0.0572111496	0.0457563446	0.05830000574	0.0639094444	0.189290268	0.37067297	0.1516335666
a31	0.069452198	0.0756770024	0.0431652843	0.0535928173	0.0751831932	0.242913382	0.326261246	0.1137548854
a8	0.0775803568	0.0997041088	0.0567013138	0.0659332958	0.0507533024	0.174783032	0.3260866566	0.148457924
a20	0.0786666156	0.0920500312	0.0551006602	0.0671128292	0.06504613	0.204388856	0.319325574	0.118309286
a31	0.0711446696	0.1040744438	0.0555743298	0.0745183962	0.0827310554	0.197662164	0.265425788	0.1488691282
a28	0.100526854	0.1253071908	0.0797963792	0.084267015	0.0700780732	0.129072218	0.2812776876	0.1296745974
a31	0.0831928128	0.1290868116	0.0712435932	0.1000362904	0.073299919	0.140120098	0.242798754	0.160221688
a38	0.1077174896	0.1513664952	0.093589639	0.0984305206	0.096240063	0.1001497586	0.2269253786	0.1255806848
a31	0.0938231524	0.154011868	0.098047426	0.108274237	0.0842866636	0.099904685	0.2212361368	0.1404158074
a17	0.1050096514	0.1570757592	0.1006783446	0.1032834464	0.097706992	0.093805693	0.219364626	0.1230755184
a3	0.088438	0.1468919922	0.0980760134	0.099780854	0.0828351766	0.10324	0.233985832	0.146752186
a10	0.0777741108	0.1012479424	0.104673039	0.0929513849	0.0814841832	0.1259705	0.29690956	0.1189892572
a20	0.0836996022	0.0949992828	0.0918359832	0.0792068128	0.0878323872	0.159242408	0.285848352	0.1173351686
a35	0.0741408291	0.098083716	0.0865589988	0.0796398738	0.0965134322	0.163039174	0.269347274	0.1326766712
a37	0.07177899816	0.0852932676	0.083759385	0.0899431027	0.0995164678	0.172373464	0.2660941	0.1312412222
a23	0.06359043388	0.0783480114	0.06562588	0.0677371462	0.0814540476	0.15931594	0.3236283	0.1603002626
a20	0.07659117144	0.095060227	0.0812254868	0.0944433896	0.0917756756	0.180871292	0.253239166	0.126793598
a31	0.06654102206	0.0879286136	0.0742736587	0.0844392784	0.086526904	0.1593982612	0.294952326	0.1459399172
a0	0.1015552309	0.101028154	0.0979513384	0.0996326076	0.0978015584	0.1152869384	0.229886639	0.1568575456
a31	0.07832472144	0.0964557404	0.0872484942	0.0949021466	0.0948095232	0.1490466472	0.257727802	0.1414849526
a13	0.103208483	0.118377332	0.1083371652	0.107748733	0.10411622	0.11876222	0.20266228	0.1367875822
a31	0.0877135776	0.1046682124	0.0937417104	0.0999409856	0.093882286	0.13781872	0.222906386	0.1593281
a39	0.109632441	0.1387874232	0.117188078	0.1124155124	0.109053797	0.117693122	0.159586264	0.1356434056
a17	0.0929407208	0.112114766	0.1002132224	0.107358254	0.1011565452	0.14397293	0.182122332	0.16012125
</S>	0.0879751216	0.0981819134	0.103801269	0.0996288558	0.0986472964	0.144231698	0.2010271	0.16650673
